euler_residual,labor_residual,capital_accumulation_residual,technology_law_residual
-3.210916992511911e-05,-8.039346965915682e-12,-0.0007484319434443165,4.2429730677017925e-19
-1.389310972529344e-05,-3.496314349149542e-12,-0.00014378654068991636,0.0
-3.12346727283647e-05,-8.001155293868578e-12,-0.0007406875491469122,-3.852403153523306e-19
-5.8411678189325736e-05,-1.2305712004945232e-11,-0.0017275973756039067,3.9056991417848646e-20
-4.5464423620290414e-05,-1.06394892895878e-11,-0.0012954445933406331,-3.9056991417848646e-20
-3.212309618022607e-05,-8.5247364722818e-12,-0.0008346291767722391,3.4618332393448195e-19
-5.276051919511189e-05,-1.1929124354992382e-11,-0.0016189146610319227,-3.9056991417848646e-20
-2.6043662503915935e-05,-7.530864820637362e-12,-0.0006477232110810859,-3.852403153523306e-19
-1.3899206870487168e-05,-4.197531211502793e-12,-0.00020002630373028293,3.4618332393448195e-19
-1.7759310636097134e-05,-5.568434602309934e-12,-0.00035120279408573646,-3.852403153523306e-19
-1.2752349330959727e-05,-3.83115761337649e-12,-0.00016362314950590926,4.2429730677017925e-19
-1.1682352734145048e-05,-3.3639757646142243e-12,-0.00012420324249262646,3.9056991417848646e-20
-1.016546081968671e-05,-2.48512321832095e-12,-6.508768858459746e-05,4.2429730677017925e-19
-1.1067001054465764e-05,-3.101963130802687e-12,-0.00010292972478076479,4.2429730677017925e-19
-2.0995455104476248e-05,-6.701306176637445e-12,-0.0005005030434475087,-3.852403153523306e-19
-1.8742833471780296e-05,-6.167955035607519e-12,-0.0004193433486268105,4.2429730677017925e-19
-2.2550957909586934e-05,-7.2537531536909236e-12,-0.0005804724410047867,-3.9056991417848646e-20
-8.586461399803852e-06,-5.431211036466267e-13,6.564235404127315e-06,7.811398283569729e-20
-8.626809251181816e-06,-1.8340884366807584e-13,8.606397082999706e-06,3.4618332393448195e-19
-1.1251004950998483e-05,2.3607782395629325e-12,-6.651348666331103e-05,0.0
-2.0768747471881853e-05,5.667022406896649e-12,-0.0003943097339433876,-4.2429730677017925e-19
-2.981368113049584e-05,7.66853247569088e-12,-0.0007183026836159455,-3.4618332393448195e-19
-3.104920001580497e-05,7.955858194463872e-12,-0.0007691779403433685,-4.2429730677017925e-19
-1.690912229453111e-05,4.762412686432071e-12,-0.00027513581265559134,-3.4618332393448195e-19
-3.091424706315093e-05,8.025136111200482e-12,-0.0007754810948963353,-3.4618332393448195e-19
-2.6470817259341557e-05,7.220890552162017e-12,-0.0006238378292842127,-4.2429730677017925e-19
-2.952789808572623e-05,7.882583474838611e-12,-0.0007385298497748493,3.852403153523306e-19
-2.9966829797739382e-05,8.02602428962018e-12,-0.0007602279438785331,3.852403153523306e-19
-1.5164469958962804e-05,4.483080573436381e-12,-0.00023373797467840518,3.852403153523306e-19
-1.0709508357168429e-05,2.534861209824157e-12,-7.337929397444042e-05,-7.811398283569729e-20
-9.508682229411249e-06,-1.482813871689359e-12,-2.5950739438229672e-05,0.0
-9.046115513312678e-06,-9.2237328885858e-13,-1.0126917750596931e-05,0.0
-9.085158183806435e-06,1.0977885267493546e-12,-1.3373703289687455e-05,-8.095376221225099e-19
-9.48381680039744e-06,1.5911716388927744e-12,-2.8363940339559687e-05,-3.852403153523306e-19
-8.87914245718491e-06,7.305267502033529e-13,-5.488267181164019e-06,-4.2429730677017925e-19
-8.747838286253353e-06,1.3455903058456897e-13,1.4435042317018085e-07,0.0
-1.1670898884429448e-05,3.1112890042095387e-12,-0.0001097877722937568,-3.4618332393448195e-19
-1.0586013225055852e-05,2.5126567493316543e-12,-7.034460208288351e-05,-4.2429730677017925e-19
-9.41915599631164e-06,1.5827339439056228e-12,-2.6511403918405563e-05,-7.811398283569729e-20
-1.9611078263398782e-05,-5.727418539436257e-12,-0.0003802338689915529,4.2429730677017925e-19
-4.3869870729685826e-05,-1.0589751298084592e-11,-0.0012798541876026801,-3.9056991417848646e-20
-2.4258381934691577e-05,-7.080114272639548e-12,-0.0005740784814385336,4.2429730677017925e-19
-1.8006583869687645e-05,-5.53912471445983e-12,-0.0003502392104461904,-3.852403153523306e-19
-8.849596685617746e-06,-8.144596108650147e-13,-6.792500885310915e-06,8.095376221225099e-19
-9.06057576702873e-06,9.565681580170349e-13,-1.1028991625749995e-05,0.0
-8.700314802661808e-06,1.2434497875801752e-14,2.927628290905204e-07,0.0
-1.1963221814867605e-05,-3.355093980417223e-12,-0.0001271827874322895,3.9056991417848646e-20
-8.873953689761546e-06,-9.2237328885858e-13,-8.436377672893512e-06,3.4618332393448195e-19
-9.143506698883007e-06,1.0471623568264474e-12,-1.3255695852976144e-05,0.0
-2.4802353720777746e-05,6.9260153168215766e-12,-0.0005699464207289395,3.852403153523306e-19
-2.360618264509308e-05,6.716849298982197e-12,-0.0005320710313885257,-3.4618332393448195e-19
