t,epsilon_t,shock_impact_t,k,z,c,n,y,i,log_k_dev,log_c_dev,log_n_dev,log_y_dev,log_i_dev
97,0.15999161357343825,0.0015999161357343826,12.002784550675926,-0.011695144051104799,0.8823699743556719,0.330558230531922,1.190641706878513,0.308271732522841,-0.04350202482210292,-0.02965451576960005,0.0016901785157200765,-0.02627415873700107,-0.016534875977537233
98,-0.11863832610988256,-0.0011863832610988256,12.010898558048527,-0.012296770109648384,0.882524582028544,0.330428573153697,1.1899163200885752,0.30739173806003117,-0.04282624279860766,-0.0294793124718071,0.0012978639364729487,-0.026883584597804457,-0.01939356454406922
99,0.2858261396025429,0.002858261396025429,12.017948189092296,-0.008823670208140537,0.8839450192417942,0.33093337533179995,1.1954758592932349,0.3115308400514406,-0.04223947878781562,-0.02787109060557444,0.002824417670899292,-0.022222255262378313,-0.006018180142095499
100,1.3060017417068248,0.013060017417068248,12.028889343134567,0.0046775307193347385,0.8887769999267716,0.33297814341201354,1.2169106223783925,0.3281336224516209,-0.04132949178577289,-0.022419595560728842,0.008984197966462038,-0.00445119962500782,0.045904392498944645
101,0.21938250136385634,0.0021938250136385633,12.055680000625113,0.006637479197006565,0.8905677820489832,0.3331613293221236,1.2207045744347573,0.3301367923857741,-0.039104775357765756,-0.020406739204863494,0.00953419063984588,-0.0013383579222877133,0.0519905725015109
102,-0.41092723083373717,-0.004109272308337372,12.083762265141733,0.0021963329288188643,0.890335886631829,0.33234336572824413,1.214401587157181,0.3240657005253519,-0.0367781037739055,-0.02066716364279669,0.007076014125538094,-0.006515135389442589,0.0334297561851189
103,1.1062887100598888,0.011062887100598889,12.105322425636096,0.01314940338297681,0.8948275567292946,0.33395094116531043,1.2323643127035249,0.3375367559742303,-0.03499546780570324,-0.0156349302158214,0.01190144498925714,0.008167959766048326,0.07415789252352284
104,0.4287564384616135,0.004287564384616135,12.139323846888574,0.016779497598444104,0.8974803072642421,0.3343636479386735,1.2390746084734652,0.3415943012092231,-0.03219060580344888,-0.012674777526318765,0.013136512523479209,0.013598247524229282,0.08610726068298702
105,1.535755991995992,0.01535755991995992,12.176400305096136,0.031298082638481814,0.9038490291865795,0.33647116530742677,1.2636477262736385,0.359798697087059,-0.029141016434030734,-0.005603612547754268,0.019419800930150916,0.033235989317527456,0.1380281818459951
106,0.18323443722190613,0.0018323443722190614,12.229793714751137,0.031565522878776786,0.9062486868352276,0.33627111656824443,1.2654964814690268,0.3592477946337992,-0.0247656111748082,-0.0029521987227367225,0.018825074686630125,0.03469795065528918,0.13649586768440597
107,-1.2244690317205003,-0.012244690317205003,12.281467427396032,0.01774255641763294,0.9039167447059488,0.3338742263422904,1.2443101416128772,0.3403933969069284,-0.020549280656569396,-0.005528696294355875,0.0116716997592479,0.017814703227186788,0.0825854800208423
108,-1.368159199245665,-0.01368159199245665,12.314075706674615,0.003173836604294643,0.9005229208524411,0.33146421573141216,1.2218066665273468,0.3212837456749057,-0.017897719094707144,-0.009290338116085699,0.004427202827170004,-0.00043593246041096997,0.024808157145548956
109,1.6509279322312496,0.016509279322312494,12.327363773141963,0.019524424096392407,0.9064754099008573,0.33394740462366873,1.2483793965386711,0.34190398663781385,-0.016819205173774786,-0.0027020524735418107,0.011890854929664916,0.021079657388819374,0.08701343837293558
110,1.723665720783297,0.017236657207832972,12.360342977902082,0.035784860099405756,0.9132861907843567,0.3363468660880546,1.2758983677862221,0.36261217700186543,-0.014147492915528666,0.004783337571154401,0.019050312554435088,0.042883962684653984,0.1458173617725465
111,-0.17951921328260065,-0.0017951921328260064,12.412218983080791,0.03220042496160946,0.9143264407429099,0.33555267683930357,1.271326542690238,0.3570001019473281,-0.009959304298637724,0.00592170798176058,0.016686299579652595,0.03929430714507769,0.13021954889686244
112,-0.38318732113598775,-0.0038318732113598775,12.457618165857758,0.026758530502169104,0.9144616372528693,0.33449946239234596,1.2635451325421423,0.34908349528927296,-0.006308356933458597,0.006069561647073166,0.01354261790869582,0.03315479746768925,0.10779461665579919
113,1.4614442922422022,0.014614442922422023,12.494426577823813,0.040035046899482674,0.9204807534878838,0.33641800056283117,1.2864934598270403,0.3660127063391565,-0.0033580224783881993,0.012630135814964154,0.019261781608685236,0.051153699036821376,0.1551515311229233
114,-1.107045682043488,-0.011070456820434879,12.546459705056343,0.02696283773407366,0.9183310074490153,0.334140597991458,1.266170408243152,0.34783940079413667,0.0007978369855388964,0.010291944311134994,0.012469202010941703,0.03523034833587042,0.10422436283392827
115,-0.8947270189558264,-0.008947270189558263,12.579989890012989,0.016667425657811714,0.9163182494245911,0.3323908491537623,1.2501982132694682,0.33387996384487717,0.0034667540351257997,0.008097782321432682,0.007218878520166496,0.022535539363363492,0.06326502024527227
116,0.6433267946890444,0.006433267946890444,12.59917008030381,0.022267322321811573,0.9190070733435557,0.33317834312603284,1.2598150789113416,0.3408080055677859,0.004990251564294581,0.011027863227876302,0.00958525709924007,0.030198377428471312,0.08380276674558512
117,-0.3946051228595896,-0.0039460512285958965,12.624647631069914,0.0172079049771251,0.9183964294530959,0.33228107608968194,1.2522061227337775,0.33380969328068166,0.007010370780336455,0.010363181885958268,0.006888571007815256,0.024140323903048096,0.06305453154380733
118,-0.005121866720071296,-5.121866720071296e-05,12.642677510424342,0.01629629106106813,0.9188564763227964,0.33206158762386423,1.2511788098578955,0.3323223335350991,0.008437501061328592,0.01086398052709185,0.006227802143215088,0.023319584814804156,0.058588863605698434
119,-0.16344289852451258,-0.0016344289852451258,12.65880870295634,0.013847047522769598,0.9187202200592727,0.33161216808107485,1.2476093210967898,0.3288891010375171,0.009712619414585294,0.010715680579621042,0.0048734631848905054,0.020462606950350362,0.04820409657870195
120,0.33757454879893356,0.003375745487989336,12.671162498731366,0.016530440634620454,0.9201428469525607,0.3319750081609409,1.2522771456611759,0.3321342987086152,0.010688048613155894,0.012262970535720225,0.005967034998863302,0.024197040534629333,0.058022882855778356
121,1.4074818613137168,0.014074818613137169,12.686414805246915,0.0297787372160266,0.9252456544199869,0.3339706406820377,1.274406721342611,0.34916106692262405,0.01189102697122888,0.01779331871909626,0.01196043250296631,0.04171418372756752,0.10801680709699514
122,0.09058490690174555,0.0009058490690174555,12.71791499899492,0.02919564942424272,0.9263890741883423,0.33374348067621257,1.2742464318591773,0.34785735767083503,0.01437093572177991,0.019028357029870303,0.011280021508731575,0.041588400049672083,0.10427598554593277
123,0.6439387932768579,0.006439387932768579,12.747405138342254,0.03417525488579916,0.9293272947002952,0.3343936196484787,1.283273060436892,0.35394576573659686,0.016687038749050052,0.02219502949829238,0.013226146569426653,0.04864732263989045,0.12162717881343382
124,-2.0501721010310225,-0.020501721010310225,12.78208530317929,0.011964771131198974,0.9232984483442297,0.33079285553841903,1.247638499590654,0.3243400512464243,0.01940391132030731,0.015686572341718732,0.00239971092984039,0.020485994201607318,0.034275987843905904
