phi_pi,phi_x,determinate,stable_root_count,roots_outside_unit_circle_count,infinite_root_count,spectral_radius
1.6,0.2,True,3,2,1,0.7999999999999996
1.6500000000000001,0.2,True,3,2,1,0.7999999999999998
1.7000000000000002,0.2,True,3,2,1,0.7999999999999998
1.75,0.2,True,3,2,1,0.7999999999999999
1.8,0.2,True,3,2,1,0.7999999999999999
1.85,0.2,True,3,2,1,0.7999999999999999
1.9000000000000001,0.2,True,3,2,1,0.8000000000000003
1.9500000000000002,0.2,True,3,2,1,0.8000000000000002
2.0,0.2,True,3,2,1,0.7999999999999998
2.05,0.2,True,3,2,1,0.7999999999999999
2.1,0.2,True,3,2,1,0.8
2.1500000000000004,0.2,True,3,2,1,0.8000000000000003
2.2,0.2,True,3,2,1,0.8000000000000003
2.25,0.2,True,3,2,1,0.8000000000000003
2.3,0.2,True,3,2,1,0.8000000000000003
2.35,0.2,True,3,2,1,0.8000000000000004
2.4000000000000004,0.2,True,3,2,1,0.8
2.45,0.2,True,3,2,1,0.7999999999999997
2.5,0.2,True,3,2,1,0.8
0.5,0.24,False,4,1,1,
0.55,0.24,False,4,1,1,
0.6,0.24,False,4,1,1,
0.65,0.24,False,4,1,1,
0.7,0.24,False,4,1,1,
0.75,0.24,False,4,1,1,
0.8,0.24,False,4,1,1,
0.8500000000000001,0.24,False,4,1,1,
0.9,0.24,False,4,1,1,
0.95,0.24,False,4,1,1,
1.0,0.24,True,3,2,1,0.8000000000000002
1.05,0.24,True,3,2,1,0.8
1.1,0.24,True,3,2,1,0.8000000000000002
1.15,0.24,True,3,2,1,0.8
1.2000000000000002,0.24,True,3,2,1,0.8000000000000002
1.25,0.24,True,3,2,1,0.8000000000000002
1.3,0.24,True,3,2,1,0.8
1.35,0.24,True,3,2,1,0.8000000000000003
1.4,0.24,True,3,2,1,0.7999999999999999
1.4500000000000002,0.24,True,3,2,1,0.8000000000000002
1.5,0.24,True,3,2,1,0.7999999999999999
1.55,0.24,True,3,2,1,0.7999999999999996
1.6,0.24,True,3,2,1,0.8000000000000003
1.6500000000000001,0.24,True,3,2,1,0.8
1.7000000000000002,0.24,True,3,2,1,0.7999999999999996
1.75,0.24,True,3,2,1,0.8
1.8,0.24,True,3,2,1,0.8
1.85,0.24,True,3,2,1,0.7999999999999998
1.9000000000000001,0.24,True,3,2,1,0.8
1.9500000000000002,0.24,True,3,2,1,0.7999999999999998
2.0,0.24,True,3,2,1,0.8000000000000002
2.05,0.24,True,3,2,1,0.8
2.1,0.24,True,3,2,1,0.8000000000000002
2.1500000000000004,0.24,True,3,2,1,0.8
2.2,0.24,True,3,2,1,0.8000000000000003
2.25,0.24,True,3,2,1,0.8000000000000002
2.3,0.24,True,3,2,1,0.8
2.35,0.24,True,3,2,1,0.7999999999999999
2.4000000000000004,0.24,True,3,2,1,0.8000000000000002
2.45,0.24,True,3,2,1,0.8
2.5,0.24,True,3,2,1,0.8000000000000003
0.5,0.28,False,4,1,1,
0.55,0.28,False,4,1,1,
0.6,0.28,False,4,1,1,
0.65,0.28,False,4,1,1,
0.7,0.28,False,4,1,1,
0.75,0.28,False,4,1,1,
0.8,0.28,False,4,1,1,
0.8500000000000001,0.28,False,4,1,1,
