t,eps_demand,eps_costpush,eps_monetary,internal_linear_residual_max_abs,r_n,u,nu,x,pi,i
48,0.9852950466217757,-1.4399460110076772,-0.1667317067695818,1.0408340855860843e-17,-0.00422615125101518,-0.021234825495963082,-0.0005362385640345799,0.03146931174869938,-0.036970432114686466,-0.04025723086171459
49,0.4733881217667407,0.3256598950248318,-1.5184773238985037,4.336808689942018e-18,0.0013529602168552719,-0.007360813797733223,-0.004064312591763549,0.016864427504610487,-0.010867314603053683,-0.011933070744038834
50,-0.6016743703728976,-1.4357355971273,1.0164110792210495,1.1275702593849246e-17,-0.004934375530244756,-0.018037762870139612,0.0005088714021708489,0.024629287152137757,-0.03218726645465825,-0.03545738470374763
51,2.5953057892709652,-0.049870988657867016,-2.145682439471808,6.5052130349130266e-18,0.022005557468513858,-0.009517591321648476,-0.005109770397594096,0.04122658751387206,-0.004680306446972441,0.008483063688883265
52,0.818562921178708,1.556836033814229,1.4786722425639764,1.0408340855860843e-17,0.025790075186598167,0.010809564677318053,0.0011417954076128932,0.006060845126892932,0.029640324017777258,0.04863270399772524
53,0.16464033553377755,0.52981517165108,0.09485342608353617,1.0408340855860843e-17,0.0222784635046163,0.010702934055169828,0.000808031269015287,0.0031278648600749,0.02789048030607594,0.044207684158166644
54,0.7205558382104725,0.9414142965666901,-0.7535775639781976,1.474514954580286e-17,0.025028329185797754,0.014765609993251815,-0.0014799282754378506,0.0009754140738804349,0.03625927018126848,0.05339668403340508
55,-0.5865078940029386,-0.34166947340447684,-0.23029954615504097,6.938893903907228e-18,0.014157584408608804,0.003966110262581139,-0.0013157130031065277,0.008201208618033615,0.013339624968799771,0.02279432875910993
56,0.1917306325733014,1.1186591144716234,-1.3065700494814527,8.673617379884035e-18,0.013243373852620054,0.013169646276006803,-0.003924281625256896,-0.0057158315575111685,0.028559218686510984,0.036056630625753996
57,0.918506037716482,-0.19701112597632026,-2.866120422024379,8.673617379884035e-18,0.019779759459260856,0.004614711878240198,-0.009127441867689396,0.019073664615181795,0.01831057648002311,0.02787525515993616
58,-0.39870945345136205,-0.27288642447775174,0.5482101233724942,3.469446951953614e-18,0.01183671303289506,-0.00042150830565741834,-0.0031931956254134626,0.014781566047187318,0.005321219625219089,0.012179416836008827
59,0.5895594100868586,-0.0063655656100685765,-0.8144440984400665,6.071532165918825e-18,0.015364964527184633,-0.0002744098089293949,-0.0036327080588068974,0.018309172778890104,0.007273484604466271,0.016432105237337555
60,0.952767151660557,-0.6771303601805604,-1.1884473582062454,9.540979117872439e-18,0.021819643138353273,-0.0069085085062703016,-0.004787472424919062,0.03646566759044595,-0.0005072763964507739,0.012684446775627743
61,-0.6414924935148422,-0.5386043457198505,-0.11411254639208848,6.938893903907228e-18,0.011040789575534195,-0.008840297710333655,-0.002679017578439752,0.027499863708723857,-0.00904828959380667,-0.002501520114787835
62,-0.44795342821835854,-0.364371031575872,0.7416238672867742,3.469446951953614e-18,0.004353097378243772,-0.008063859170925548,0.0005145508789970595,0.017098840374172423,-0.011394680712821232,-0.008028050003148577
63,0.7965007499078177,0.5328525133448193,-0.3094445874119776,5.204170427930421e-18,0.011447485401673197,0.0012965955479854194,-0.0005163360290314143,0.009331814325348282,0.007538072277501981,0.015456679549895696
64,-0.6672574107598113,-0.23177394973290913,-0.1466948616347139,1.4094628242311558e-18,0.002485414213740443,-0.0016694417233363815,-0.0006249051686024919,0.005678825075173824,-0.001503328172656411,-4.0484890000197876e-05
65,0.8414470814896705,-0.28021781072854285,-1.204723161366088,3.469446951953614e-18,0.01040280218588906,-0.003636898968953619,-0.003324260487716466,0.018822297782550113,-0.0006368913149921319,0.005131551431070391
66,-0.8372745986406598,1.7641854314165915,-0.9326607907742017,8.673617379884035e-18,-5.050423769534934e-05,0.015823404829689105,-0.003993782220793737,-0.022869459160037527,0.026791092469837893,0.024758126903944338
67,-1.2637968095703906,-0.2916695035468279,1.761065078457066,4.7704895589362195e-18,-0.012678371485860191,0.004995007379376273,0.0024057715857457966,-0.022495786944655705,0.0019780560933953424,-0.005875037746489038
68,0.09644075142945095,0.2926485943766355,-1.5765627161771831,2.168404344971009e-18,-0.009178289674393643,0.005423989633454491,-0.00273852099757006,-0.015534149928893808,0.005160828534472947,-0.002764353160307542
69,-1.4988264436558307,-0.002370720752295058,-0.45761157615009496,7.806255641895632e-18,-0.02233089617607322,0.002688287609204295,-0.0025132894391602673,-0.0238893026248839,-0.0054986881874890085,-0.022705973032835725
70,0.38966089072657867,-1.1024755596520626,1.0530490049220758,1.0842021724855044e-17,-0.013968108033592788,-0.009680611791918477,0.0013759777927250558,0.0013767420327971246,-0.02270715987351187,-0.03199639100114418
71,1.3574737936617876,-1.5469052930246168,0.2451375259066989,8.673617379884035e-18,0.002400251509743651,-0.02030935882620541,0.0013008327111292753,0.034799010633356046,-0.032670912616280086,-0.03030603089661283
72,-0.27922359804134816,1.4426064179919957,0.2258293865454859,1.5178830414797062e-18,-0.000872034772618554,0.004271384766817253,0.0012149898219283523,-0.008915600310829927,0.006454846528017922,0.006439459458540273
73,0.9532519294086893,-0.07627029032344944,0.31418918843813437,4.336808689942018e-18,0.008834891475992049,0.0013729894801741323,0.001392967882059512,0.005091328097260152,0.006136977557811832,0.013144098267407334
74,2.1328267279434474,2.0763609615652903,-1.6964341654092068,2.0816681711721685e-17,0.02839618046022811,0.02145010435573997,-0.003544601472493261,-0.0051007990835517,0.0492113726420851,0.06772205794885852
75,0.38124370002251756,0.24128917936270375,-1.073784938812438,2.0816681711721685e-17,0.026529381368407653,0.013137943971497023,-0.004456763083277726,0.007598706528210863,0.034757172795649216,0.05147834937430151
76,-0.7680064476782985,0.18493811511317118,0.9560028014645962,8.673617379884035e-18,0.013543440617943128,0.008418353136880222,0.0001616254620226275,-0.000983515739305378,0.02016966258863007,0.029924361475315037
77,0.5231130768974631,-0.4187344881289365,-1.0611655106573399,5.204170427930421e-18,0.016065883263329125,2.183168715074596e-05,-0.0025721010456320357,0.017610428370213888,0.007912934480174041,0.018102514859735967
78,-2.0932911189490673,1.5400108009343136,-0.5567458726781775,6.071532165918825e-18,-0.008080204578827374,0.01541102385291851,-0.002677915204511462,-0.031032855726491275,0.022167621532677904,0.01505708923125976
79,-0.859431131784768,0.33762718700328515,-0.08589544934352958,4.7704895589362195e-18,-0.015058474980909585,0.011081783796492106,-0.0015536962256145548,-0.03154776783198836,0.011589356942017787,5.645527141794662e-05
80,-0.016658195313077225,0.6571694714517146,-0.4862176363248928,8.673617379884035e-18,-0.012213361937858441,0.0121125866127632,-0.0019923922036195092,-0.030140568405113286,0.01468530069750644,0.004965274640083511
81,-1.0576905034118835,-0.1425394321577966,0.06558599249815794,6.5052130349130266e-18,-0.02034759458440559,0.004630898984803634,-0.0008322311205643597,-0.026590038667263026,-0.001645722475609175,-0.01659583416760963
82,-1.088433852713202,-1.1051316130689628,-1.0473827144264265,1.3877787807814457e-17,-0.027162414194656488,-0.00873586663828781,-0.0030345723463482462,-0.00923248736652672,-0.026536389136634295,-0.04745539973456304
83,0.8158212108749436,1.384411899366156,1.2734803173401235,3.903127820947816e-18,-0.013571719246975747,0.009476185674517655,0.0016664146201761858,-0.030147400853133107,0.009092815880134419,0.0002319380138112645
84,-0.9131233290810868,-0.6937015850707444,-1.2772158289153073,5.204170427930421e-18,-0.019988608688391467,-0.0021989230134486165,-0.0023598322622001757,-0.013679640124839595,-0.012515682882090894,-0.02797317664775631
85,1.836647243412608,-0.4842273542806996,-0.037547531999542756,3.469446951953614e-18,0.00237558548341291,-0.0059417350495313045,-0.0012737849610989448,0.013176136654243097,-0.008508658145411418,-0.0074487038520945235
86,-0.4759326991031575,0.16748631143076798,-1.048618847400571,8.673617379884035e-19,-0.002858858604301245,-0.0012960044104579724,-0.0032584395990509,0.0021039280792018783,-0.002929572200581326,-0.00660083386032195
87,-0.6203748190111922,-0.912111591707082,-2.365151852847625,6.071532165918825e-18,-0.008490835073552918,-0.009769118122299806,-0.007542099431644512,0.014251244908926328,-0.018838909868071685,-0.028674841779288876
88,0.2544660621797446,0.7380134893152888,0.9699765270811016,1.0842021724855044e-18,-0.004248007437044883,0.0024955758320029846,-0.0013461083981195017,-0.0070995707929216645,0.002377097138119904,-0.0013302480874004777
89,1.5590616194624891,0.9497350801061777,-0.0722585229843921,1.0408340855860843e-17,0.012192210244988984,0.01074513871706327,-0.0008537005065207312,-0.005285537699293653,0.023556681412941493,0.031838552763244675
90,0.5429736665115819,-0.5311270037526749,0.7926580802049668,5.204170427930421e-18,0.015183504861106999,6.129932100488577e-05,0.001554794947252051,0.01324915403368758,0.006886772249213222,0.01850953033791567
91,-0.2873019382325629,-2.3250638049077157,-0.03154828279802276,1.3877787807814457e-17,0.009273784506559968,-0.023219988388574715,0.0006985267666309687,0.04674395760119727,-0.03419422078702826,-0.02722082561331279
92,0.06120920138064195,-1.1751005206111445,0.4741719418941974,6.938893903907228e-18,0.008031119619054401,-0.0233609994003988,0.001534693238050978,0.04508021614265225,-0.03514188135348263,-0.02863802072084685
93,1.1869931829051823,-1.1561001745806998,0.7559600094975586,6.938893903907228e-18,0.018294827524295353,-0.0232415014460064,0.0026572466427693857,0.053847598916304,-0.030369377667222867,-0.015973020399912916
94,0.8673847999594458,-0.9503845564775297,-0.4430936763863921,3.469446951953614e-18,0.023309710019030747,-0.021124596287778498,0.00022088913041871266,0.05722034147792931,-0.024141644866875513,-0.007381407430929904
95,-1.0932002251357014,-0.5787150867643474,-0.05000516082539607,8.673617379884035e-18,0.007715765763867588,-0.01634944901153272,-1.4568336854133847e-05,0.0344798244529321,-0.02344273359626711,-0.01793875650478875
96,1.1662185096364577,-0.6389167608508448,-1.5546729575658007,6.938893903907228e-18,0.017834797707458654,-0.014563892114274809,-0.0038939665623415687,0.044528997490906566,-0.015156748489338333,-0.0043645905508957914
97,-3.1444535241908174,-0.6694559069194285,-1.3134511982631976,8.673617379884035e-18,-0.01717669707594125,-0.013976505126331688,-0.005230611276828778,0.010896498258170411,-0.03020402566125769,-0.045088400639630107
98,0.1855768809340296,0.22940883478981464,-1.586943796027797,6.938893903907228e-18,-0.011885588851412696,-0.004694164215267698,-0.006582665128483882,0.0017869540901348682,-0.012183701606526261,-0.02396474049320584
99,0.3622872669937393,-0.2115901377562703,-0.25318952147688173,2.6020852139652106e-18,-0.005885598411192761,-0.004462983485196552,-0.003924306367934146,0.004974364556891508,-0.00945805591923273,-0.015624207968337486
100,-0.5205833525963056,0.9604080077690628,0.5945747896196119,2.656295322589486e-18,-0.009914312254917262,0.007372588335092352,-0.0004757162099180432,-0.021353839139677408,0.007666252128285072,0.0003467424126708634
101,0.18721580092320755,1.1509257355464502,0.03472766064481304,4.336808689942018e-18,-0.006059291794701736,0.015195551523010678,-0.000151038953346989,-0.030836239199035984,0.022331147017094766,0.01792756197277717
102,0.1386842295007149,0.5353032142754454,-0.2704086459075077,4.336808689942018e-18,-0.003460591140754245,0.012950807904259794,-0.0007515410914422638,-0.024117578331137212,0.019925417792930545,0.017077796432384947
103,-1.202013520275905,1.7624420824050793,0.9430162036672495,5.204170427930421e-18,-0.01478860811536245,0.02409982477618069,0.001981769963446992,-0.05575592861790237,0.032647575632509,0.023075169103259314
104,-1.2994451311376942,-0.983210551001072,-1.0656478622043413,9.540979117872439e-18,-0.024825337803666907,0.0022178068780796256,-0.001673234673787357,-0.0262193626651343,-0.007572170952031066,-0.026141172434401103
105,-1.5236627981905368,0.36207727551905056,1.5021332116174848,1.474514954580286e-17,-0.035096898224838885,0.004729676194230318,0.002918715692150033,-0.04411364623207723,-0.008943495495556933,-0.032553350667223965
106,0.3871373352740951,1.5591738400149273,-0.4182805683729029,6.938893903907228e-18,-0.024206145227130153,0.017956576497264433,0.0004136564251427594,-0.053378442573858556,0.01838457868138699,0.0013013031602939716
107,0.2629499360291178,-0.9266087966643798,0.02148817995541282,6.071532165918825e-18,-0.016735416821412948,-0.0002877997180115808,0.0002605486624599118,-0.01588726637080158,-0.00828102060796254,-0.020104615434884687
108,1.0740805683517656,0.7135391135624355,1.020333162492663,2.6020852139652106e-18,-0.0026475277736126984,0.006991491276618565,0.0026811072374616136,-0.016348334136300238,0.009885044365106191,0.009334506716970782
109,-0.4077194115975043,0.9126467209439604,1.4502095309120435,3.469446951953614e-18,-0.006195216334865204,0.012622212847748886,0.004966077446010916,-0.030985232016136968,0.017168845520318606,0.015226729718420344
110,0.5635606133838962,-1.3901026675375114,0.2823308599674496,3.469446951953614e-18,0.0006794330659467959,-0.007589920251500671,0.003188865872924082,0.010539024860317254,-0.01275727206760305,-0.010677529798321865
111,0.24427374700113924,-0.6720740812092771,-1.0307907721450322,3.469446951953614e-18,0.002986283922768832,-0.010515700937843108,-0.0009825439939005398,0.021082479921557425,-0.015833816037987117,-0.014192028090102502
112,-0.8123496176808882,1.148899199831887,0.13300045002096747,3.469446951953614e-18,-0.005734469038593814,0.006231141529397315,-0.0001587708718978512,-0.015699206079242342,0.007665878324577594,0.003490443575347372
113,1.6709131026872746,-1.796981244125087,0.4224902941538688,2.6020852139652106e-18,0.012121555795997694,-0.014854241676552214,0.0009768402994357465,0.03543135182010642,-0.019091683839545452,-0.009945009549829223
114,1.600164391266138,1.831389569460384,-0.5391251915795402,6.938893903907228e-18,0.025698888549459536,0.010886774856327733,-0.0008593928292309772,0.007515666052076351,0.03005642470495395,0.04798307725423812
115,1.5913390411346222,1.093947627537835,1.1823417891137982,1.3877787807814457e-17,0.03647250125091385,0.016382863703542215,0.002526158058169007,0.0059991038338058425,0.04357831132361635,0.07089317696049645
