scenario,scenario_label,period,full_information_rate,filtered_rate,rate_gap,abs_rate_gap,full_loss,filtered_loss,excess_loss,full_pi,filtered_pi,full_output_gap,filtered_output_gap,full_consumption,filtered_consumption,full_low_liquidity_share,filtered_low_liquidity_share,full_mean_mpc,filtered_mean_mpc
full_macro,Фильтрация: расширенный макронабор,29,0.0010539919797130299,7.880621269557457e-06,-0.0010461113584434723,0.0010461113584434723,1.1038384378295135e-06,3.7328298342432686e-07,-7.305554544051866e-07,0.0007723753657674373,-0.00020520347682877925,0.0010052693038833382,0.0008126749359773644,0.00021591850345792363,0.0001234157814987702,0.593091984285429,0.5934245684798078,0.10691164927164648,0.10685102360383644
full_macro,Фильтрация: расширенный макронабор,30,0.0007994736038041202,-9.554706585860267e-05,-0.0008950206696627229,0.0008950206696627229,9.61637103416533e-07,3.650758569146443e-07,-5.965612465018886e-07,0.0006490602599024982,-0.00023594667020289742,0.0010364544391801012,0.0007859645811505445,0.00039213954691952324,0.0002626314740529212,0.5932169854206124,0.5935718702027084,0.106249918228333,0.10610184369929179
full_macro,Фильтрация: расширенный макронабор,31,0.0005709095347337137,-0.00016967728795499762,-0.0007405868226887113,0.0007405868226887113,9.488227929023398e-07,5.088904041065444e-07,-4.3993238879579537e-07,0.000498967323566474,-0.00028646686160397727,0.0011808829969406354,0.0009236367000264867,0.0004464093245238887,0.000278689210574945,0.5931347728747,0.5935089790482814,0.10661195347793101,0.1065651615400986
full_macro,Фильтрация: расширенный макронабор,32,0.0003687430648906871,-0.00024030329315938084,-0.0006090463580500679,0.0006090463580500679,8.67329040986143e-07,4.424436306302629e-07,-4.248854103558801e-07,0.0004525009077171743,-0.00023365595141174874,0.0011493723551789792,0.0008804534347364168,0.0005740738211280627,0.00038370050674163547,0.5931556531433845,0.5935852490748114,0.10530835496222504,0.10541365401442876
full_macro,Фильтрация: расширенный макронабор,33,0.00017971115042543533,-0.0003029078815398643,-0.00048261903196529965,0.00048261903196529965,8.74933533903395e-07,5.538269960995698e-07,-3.2110653780382525e-07,0.0003561885862589257,-0.00023377846978534422,0.0012217009222292852,0.0009989781343353599,0.0004603816834494179,0.00027022124185960283,0.5929122541415709,0.5934297886669732,0.10642692036536736,0.10657026422796184
full_macro,Фильтрация: расширенный макронабор,34,0.00019236860705903132,-0.00024062205858630092,-0.0004329906656453322,0.0004329906656453322,6.454062742558273e-07,2.5537765721277047e-07,-3.9002861704305687e-07,0.0004668332748502526,-3.578615449605656e-05,0.0009246242017035833,0.0007126051251178378,0.00042841234265122985,0.0002451115433858009,0.5930413697104043,0.5936352733258383,0.10586252183852712,0.1061296120175032
full_macro,Фильтрация: расширенный макронабор,35,0.0002347839422232936,-7.128701021252346e-05,-0.00030607095243581704,0.00030607095243581704,5.364377737437746e-07,9.346816815473004e-08,-4.429696055890446e-07,0.0006209753776820633,0.00019851277172739637,0.0005490672108650063,0.0003244291284254519,0.00023245311395181378,6.481702675509293e-05,0.5930350055120457,0.5937289963435319,0.10706063907575959,0.10725590841489059
full_macro,Фильтрация: расширенный макронабор,36,0.00039856274257366536,0.0002007369141524614,-0.00019782582842120395,0.00019782582842120395,9.213440044169941e-07,4.86690425149267e-07,-4.346535792677271e-07,0.0009300481962131761,0.0005826385922035775,-0.0003317022229814004,-0.0005357664514561433,0.00020791666454245128,5.2929445927829555e-05,0.5932661902905522,0.5940003077087382,0.10537368507237471,0.10575087012156092
full_macro,Фильтрация: расширенный макронабор,37,0.0006426983431119068,0.0003971570794747568,-0.00024554126363715,0.00024554126363715,1.7026424480308354e-06,1.2495873497868144e-06,-4.53055098244021e-07,0.0010978237572464473,0.0008166799617095175,-0.000994429823047982,-0.0010776754111156972,-9.488710610605633e-05,-0.00021254899142053585,0.5930155184057377,0.5938490112488228,0.10695276546156178,0.107439233749937
full_macro,Фильтрация: расширенный макронабор,38,0.000936287983419588,0.0007425492123021041,-0.00019373877111748393,0.00019373877111748393,2.203793781102051e-06,1.675538713511234e-06,-5.282550675908172e-07,0.0013940542852117536,0.0011655561786240065,-0.0007156768644297484,-0.0007887366121991368,-0.00012756960199045153,-0.00020987846338715865,0.5931118741965037,0.5940222217567501,0.10530081957405123,0.10555266215216895
full_macro,Фильтрация: расширенный макронабор,39,0.0011163206838126487,0.0009369795405819055,-0.0001793411432307432,0.0001793411432307432,3.0478453023700535e-06,2.604015786688207e-06,-4.438295156818466e-07,0.0013805102208990006,0.0012025717565118015,-0.0015102425260221652,-0.001520491236081667,-0.0001762020983754331,-0.0002448983075550304,0.5926770617092191,0.5936006413506466,0.10386820875862557,0.10411639442342818
full_macro,Фильтрация: расширенный макронабор,40,0.0011079969004627662,0.0009773310295465056,-0.00013066587091626063,0.00013066587091626063,3.5013976094803373e-06,3.145096404447786e-06,-3.563012050325514e-07,0.0010863726304727655,0.0009545688728766887,-0.0021546176704796416,-0.0021136760675418698,-0.0003572885382018276,-0.00041407947579708004,0.5920035752848216,0.5929335238220065,0.10523905161445529,0.10536647026958108
full_macro,Фильтрация: расширенный макронабор,41,0.0010129430604108622,0.0008704892682798507,-0.00014245379213101146,0.00014245379213101146,2.4451831623230757e-06,2.1733401554836e-06,-2.7184300683947575e-07,0.0008290971007068567,0.0007410972337132557,-0.0018747423280531805,-0.001801967972838936,-0.00029845972744568794,-0.0003547659308150708,0.5918318009945507,0.5927395128706454,0.1046172148682202,0.10474932568777577
