scenario_name,scenario_label,misspecification_name,misspecification_label,evaluation_seed,switching_classical_cumulative_loss,switching_classical_policy_volatility,misspecified_cumulative_loss,misspecified_mean_loss,misspecified_policy_volatility,misspecified_corner_share,misspecified_unstable
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",overstated_noise,Overstated measurement noise,901,0.016125024646321387,0.004281602209894989,0.016162293321012624,0.0002693715553502104,0.0043226569001637355,0.3,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",overstated_noise,Overstated measurement noise,902,0.013344483318880941,0.002435524899076507,0.01368705454196425,0.00022811757569940418,0.0024023892321229424,0.2,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",overstated_noise,Overstated measurement noise,903,0.0016687368610363825,0.0018071705582173284,0.0016906937994542264,2.8178229990903774e-05,0.0017827132469748388,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",overstated_noise,Overstated measurement noise,904,0.0029700375441018756,0.00154227053805814,0.0032301895604057887,5.3836492673429814e-05,0.0016436369126691826,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",overstated_noise,Overstated measurement noise,905,0.010809653230149764,0.0029895393912478187,0.010692061219229589,0.00017820102032049316,0.0030206976887211974,0.25,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",overstated_noise,Overstated measurement noise,906,0.011227994086696209,0.0035677369978232244,0.011306050057534704,0.0001884341676255784,0.003494656019880733,0.15,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",overstated_noise,Overstated measurement noise,907,0.005470464129067795,0.00319620944099753,0.005695064891344642,9.491774818907737e-05,0.003204849818734819,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",overstated_noise,Overstated measurement noise,908,0.008820432430227393,0.005285978080496156,0.00818288810169958,0.00013638146836165968,0.005026247049182503,0.05,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",overstated_noise,Overstated measurement noise,909,0.01573211443513926,0.002594604041379077,0.015558885992533264,0.00025931476654222105,0.0026330685108058804,0.18333333333333332,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",wrong_persistence,Normal-biased regime persistence,900,0.0031279307977321244,0.0017284519405623407,0.00307149406118994,5.1191567686499e-05,0.0017028808224353194,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",wrong_persistence,Normal-biased regime persistence,901,0.016125024646321387,0.004281602209894989,0.016101542916621345,0.00026835904861035573,0.004241629432925467,0.31666666666666665,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",wrong_persistence,Normal-biased regime persistence,902,0.013344483318880941,0.002435524899076507,0.013292210838657588,0.0002215368473109598,0.0024343495120801215,0.18333333333333332,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",wrong_persistence,Normal-biased regime persistence,903,0.0016687368610363825,0.0018071705582173284,0.0016619544417999402,2.769924069666567e-05,0.0017969525866626454,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",wrong_persistence,Normal-biased regime persistence,904,0.0029700375441018756,0.00154227053805814,0.002944732991339637,4.907888318899395e-05,0.0015419422758700362,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",wrong_persistence,Normal-biased regime persistence,905,0.010809653230149764,0.0029895393912478187,0.01063999534042003,0.00017733325567366717,0.003039025070078082,0.25,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",wrong_persistence,Normal-biased regime persistence,906,0.011227994086696209,0.0035677369978232244,0.010879942218958173,0.00018133237031596954,0.0035790034444033642,0.16666666666666666,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",wrong_persistence,Normal-biased regime persistence,907,0.005470464129067795,0.00319620944099753,0.005295842444454752,8.826404074091254e-05,0.0031478867616597564,0.0,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",wrong_persistence,Normal-biased regime persistence,908,0.008820432430227393,0.005285978080496156,0.008608948385486096,0.00014348247309143493,0.005205740184182249,0.05,0
macro_core_strong_gap,"Инфляция, выпуск, ставка × сильный режимный разрыв",wrong_persistence,Normal-biased regime persistence,909,0.01573211443513926,0.002594604041379077,0.015453922133047216,0.00025756536888412026,0.0026123690787291467,0.16666666666666666,0
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",inflation_only_rule,Inflation-only simple rule,900,0.002705334541334808,0.0012986160123786923,0.000659519659062564,1.09919943177094e-05,0.0003741567390328717,0.0,0
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",inflation_only_rule,Inflation-only simple rule,901,0.012821854690590972,0.002855153088159903,0.0011735840885218152,1.955973480869692e-05,0.0006198671594255268,0.0,0
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",inflation_only_rule,Inflation-only simple rule,902,0.013113524035803112,0.0027450040570819434,0.0024999789630822363,4.1666316051370605e-05,0.0009256130685501307,0.0,0
thin_information_moderate_gap,"Инфляция, ставка × умеренный режимный разрыв",inflation_only_rule,Inflation-only simple rule,903,0.0013949019555048682,0.001707883901410686,0.0008105629480658361,1.3509382467763935e-05,0.0006918195485866168,0.0,0
