scenario_name,phi_pi,phi_y,rho_i,validation_cumulative_loss,validation_policy_volatility,validation_unstable_episodes,rule_family,alpha
macro_core_moderate_gap,0.5,0.0,0.7,0.0005653667748611013,0.00015426070369585867,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.0,0.5,0.0005701096893197618,0.00017092769286981466,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.0,0.85,0.0005797373101479483,0.00021093917983524521,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.0,0.7,0.0005816944530878297,0.00022117902576515203,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.0,0.3,0.0005854283198424207,0.00018973811518964233,0,history_observables_rule,0.5
macro_core_moderate_gap,0.5,0.0,0.5,0.0005922867886180834,0.00019604716561235432,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.0,0.85,0.0005932184273016455,0.00022854987588831471,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.0,0.5,0.0005998219993227857,0.00025921908619791695,0,history_observables_rule,0.8
macro_core_moderate_gap,1.0,0.0,0.3,0.0006139153205479688,0.0002787182458727182,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.125,0.85,0.0006166627675565697,0.0002605832882596144,0,history_observables_rule,0.8
macro_core_moderate_gap,1.5,0.0,0.85,0.000617321860684495,0.0002567079655518677,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.0,0.3,0.0006174874877327293,0.00022431665918174474,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.0,0.7,0.0006251635772285052,0.0003179124207814359,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.0,0.7,0.0006587228449612291,0.0003567970923599582,0,history_observables_rule,0.2
macro_core_moderate_gap,1.5,0.0,0.85,0.0006624995199285284,0.0003506181403728516,0,history_observables_rule,0.5
macro_core_moderate_gap,1.5,0.0,0.7,0.0006716659749064813,0.00036654520475836144,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.125,0.85,0.0006750018840067713,0.00035932286748190746,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.0,0.5,0.0006793696178834251,0.0003997268699346038,0,history_observables_rule,0.5
macro_core_moderate_gap,0.5,0.125,0.7,0.0006794595472034829,0.0003738604946888848,0,history_observables_rule,0.8
macro_core_moderate_gap,1.5,0.0,0.85,0.0006898885883152728,0.00038484018449252196,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.125,0.85,0.0007129858980460976,0.00039512526809592173,0,history_observables_rule,0.2
macro_core_moderate_gap,1.5,0.0,0.5,0.0007160399352186003,0.00043978668672559133,0,history_observables_rule,0.8
macro_core_moderate_gap,1.0,0.0,0.3,0.0007273089280002301,0.00045011500053036125,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.125,0.85,0.0007324455219451048,0.00038068906163414524,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.125,0.5,0.0007360280884838784,0.00044941489990036357,0,history_observables_rule,0.8
macro_core_moderate_gap,2.0,0.0,0.85,0.0007418355255699052,0.0003802981913840952,0,history_observables_rule,0.8
macro_core_moderate_gap,1.5,0.0,0.3,0.0007472495519637605,0.00047894900847350006,0,history_observables_rule,0.8
macro_core_moderate_gap,1.0,0.0,0.5,0.0007479438071980049,0.00046747505040583437,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.125,0.3,0.0007778964520227798,0.0004898885310587136,0,history_observables_rule,0.8
macro_core_moderate_gap,1.5,0.0,0.7,0.000783862159229934,0.000559199400114993,0,history_observables_rule,0.5
macro_core_moderate_gap,0.5,0.125,0.7,0.0008221059060215098,0.0005781374956560641,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.0,0.3,0.0008344740630954114,0.0005447618018614147,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.125,0.85,0.000860665794463422,0.0005360894690189507,0,history_observables_rule,0.5
macro_core_moderate_gap,1.5,0.0,0.7,0.0008608242157773218,0.000642152822249177,0,history_observables_rule,0.2
macro_core_moderate_gap,2.0,0.0,0.85,0.0008629596057411875,0.0005298933714474695,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.125,0.7,0.0008866062440501119,0.0005550379151477507,0,history_observables_rule,0.8
macro_core_moderate_gap,2.0,0.0,0.7,0.0008950521080854645,0.0005487770051560775,0,history_observables_rule,0.8
macro_core_moderate_gap,1.5,0.0,0.5,0.0009246862998171428,0.0007322431720151118,0,history_observables_rule,0.5
macro_core_moderate_gap,2.0,0.0,0.85,0.0009254018578631066,0.0005893947305903526,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.125,0.7,0.0009264818842940886,0.0006676977526211349,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.125,0.85,0.0009314579028704958,0.0005980565858774996,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.125,0.5,0.0010076246532159687,0.0007663360531412469,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.125,0.5,0.001016025688496051,0.0006861548371302122,0,history_observables_rule,0.8
macro_core_moderate_gap,2.0,0.0,0.5,0.0010174296132078456,0.0006750764458328732,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.25,0.85,0.0010373722115399261,0.0005916659882555828,0,history_observables_rule,0.8
macro_core_moderate_gap,1.5,0.0,0.3,0.0010507560845151513,0.0008454202199688263,0,history_observables_rule,0.5
macro_core_moderate_gap,1.5,0.125,0.85,0.0010587873870120043,0.0005960587915386169,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.0,0.85,0.001088232537349298,0.0006069393021492576,0,history_observables_rule,0.8
macro_core_moderate_gap,2.0,0.0,0.3,0.0010971687590759524,0.0007483581411815776,0,history_observables_rule,0.8
macro_core_moderate_gap,1.0,0.125,0.3,0.0011040247897318068,0.000762188056757574,0,history_observables_rule,0.8
macro_core_moderate_gap,1.5,0.0,0.5,0.0011057737308475084,0.0008865899375833022,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.125,0.3,0.001184210069022976,0.0008960531755579388,0,history_observables_rule,0.5
macro_core_moderate_gap,2.0,0.0,0.7,0.001228935085375234,0.0009089657571896475,0,history_observables_rule,0.5
