t,innovation_x,standardized_innovation_x,innovation_pi,standardized_innovation_pi,innovation_i,standardized_innovation_i
114,-0.0037541203840130172,-0.19417186503538392,-0.012149916692390291,-1.1449943956053397,-0.018263776966825948,0.26155742136647336
115,0.007429080280638747,0.3842493649730059,-0.004306949345838921,0.017131150624742356,-0.0012993288958756295,0.4160482956369059
116,0.024492960899778787,1.2668330824982654,-0.027080760790894658,-0.9652294292250865,-0.027222588422328275,0.2388766692982379
117,0.018692758137333627,0.9668330631159734,-0.040076310375574034,-2.276103062796935,-0.045364853873703495,1.0955813720490013
118,0.00752464456690918,0.38919217282086443,0.00430871579187736,0.7051239344679473,0.0033407884195453055,-1.6491036733704583
119,-0.009249522561137632,-0.4784068870117319,0.004523813780637327,-0.08783898994642086,-0.004958372398234882,-1.926970336843608
120,0.003543721931312025,0.1832895661790431,-0.011261722814546078,-0.7221319548686652,-0.021459607197237378,-1.778516312233634
121,0.02952627258531632,1.5271677061419768,-0.03882053083861478,-1.6533469216378764,-0.044101685101487355,-0.33095900534054457
122,-0.04436222170584908,-2.294517608550946,0.05584746564372353,2.2874630528163427,0.060416399397929366,-0.09645238049247389
123,0.029906631254377238,1.546840743924262,-0.014483054945139358,0.2954223645398909,-0.01070630917989621,-0.8481202380025373
124,0.007239002430643543,0.37441809509880125,-0.007244279029615561,-0.22503104442077368,-0.009299148869393465,-0.5471859346437515
125,0.009403826517551443,0.48638784764549303,0.0040148406381469125,0.7725599687937518,0.0045435432937097064,-1.4437769364311641
126,-0.0016476031068779762,-0.08521787672632086,-0.0045474491190190675,-0.4402576274554771,-0.008635399298679968,-0.346181171562442
127,-0.0002753549918498273,-0.014242002611842327,-0.0012898224607426289,-0.11560312190115674,-0.000594322911110555,0.3663996594461913
128,-0.013143548482437548,-0.6798149928505435,0.008583554799701423,0.04612945115271432,0.004761295666440157,-0.455256175672043
129,-0.018965345981036445,-0.9809319423695925,0.011432691878505898,-0.009016921809032755,0.005427163744694868,-0.6740431947842193
130,0.03203366321074204,1.6568557993060828,-0.03412671889724786,-1.159960960298438,-0.03161027988802051,0.8708798371778691
131,0.013485306001576216,0.6974914890981372,-0.03344046723093539,-2.0012284729350833,-0.045580815644992334,-0.8659505028256244
132,0.0333428828388477,1.7245716930245636,-0.005124787938185337,1.203638600816573,0.010689395942164323,0.8111016488126203
133,-0.0003066646611513263,-0.015861411757005235,0.01265795666682314,0.9891959476852588,0.014255613822595006,-1.027169341251925
134,0.036079714192139734,1.8661269959442757,-0.010214388526357015,0.932102784748546,-0.006122029103923064,-1.9954965656095067
135,-0.007999798071938659,-0.41376822068618346,0.005519577520200646,0.051492236830343034,0.00480669093482933,0.1121815502893836
136,-0.02709792412004369,-1.4015678579150097,0.030204894532615364,1.0872361041164738,0.025788629272257096,-1.4942091659759413
137,-0.011211254087795988,-0.5798722185051194,0.015036117589692474,0.6512447653096206,0.01579813278138383,-0.2355883736798759
138,0.006526811090438629,0.33758189736296484,-0.015914072561177637,-0.9470940923367919,-0.01908110871072839,0.2607310084294642
139,-0.00377995107974394,-0.1955078888844309,-0.008306519417712226,-0.8413908799298533,-0.014432704488583274,-0.1889564335367815
140,0.00208864100299008,0.10802938570297922,0.018326053036061336,1.5544476960752744,0.01918139989980925,-2.169607470848721
141,0.003770175928506953,0.19500229525595494,-0.006605100507039969,-0.34184217268726286,-0.004578041374808374,0.8604954287484133
142,0.004296290876911713,0.2222141878712752,-0.008580383975951877,-0.47311178127795006,-0.006314498735262233,1.0924510863914447
143,-0.00919284257800683,-0.47547526604359514,-0.008532267206999827,-1.1206851464235454,-0.011666854315456155,1.2635812961937278
144,0.0008724388388615563,0.0451245722413322,-0.017719454255347954,-1.3633429809706237,-0.024532745978608016,0.183195201258614
145,0.008477220181824348,0.43846160608756934,0.02269225994402367,2.2092711480052993,0.03983230737744345,0.8410741918093974
146,0.010664585390037565,0.5515972380190782,-0.008229901094119212,-0.13778738106213803,-0.003066728879294522,1.0592687543843096
147,0.01768356553590569,0.9146352672131944,-0.003182593351428972,0.6015017249037206,0.0065695689358334945,0.8431978909396747
148,0.00567445388756856,0.2934959941877696,0.010188548593347222,1.0821553042240768,0.018399576343360806,0.2920397139682753
149,-0.029214518968620193,-1.5110430817311036,0.0008470753157867848,-1.343579956934249,-0.007509724545902253,1.1608393741071137
150,0.0026431429708148146,0.1367095211927275,-0.0039682970243661774,-0.18712038363778147,-0.01179337712183031,-1.9032511548018163
151,0.005780993246741474,0.29900645841219226,0.009194041757671583,1.0084177177050186,0.011537645199744102,-1.1453688392822001
152,0.006873540356041166,0.3555155439372991,0.013283635288177865,1.3855554812207491,0.0218216687430405,-0.12653253728437155
153,-0.007826111043769854,-0.4047847223584236,0.0399077376647463,2.7874822978889444,0.05291260674903654,-0.33406178892951766
154,-0.0020881880770109943,-0.10800595931461497,-0.017192880491678164,-1.4645447576607882,-0.027035128364482294,-0.3240202493057368
155,-0.009866314201562913,-0.5103087896970123,-0.00022502185151570923,-0.49429235005117433,-0.009304823732451888,-1.1918934560083982
156,-4.236807767558047e-05,-0.0021913758267489134,0.011956151527098084,0.9462929888481781,0.013302123794883755,-1.0423145844464685
157,0.015252572843656907,0.7888986533977493,-0.012004218599544461,-0.21560519417049134,-0.010130590277077077,0.09471685594443631
158,-0.003483925712819908,-0.1801967662475006,0.02899342564670489,2.1314640754443315,0.038885952494813476,-0.38639746942694636
159,-0.024998009765298628,-1.292955388157298,0.022685044783103167,0.5921808941396629,0.026286081321637924,1.2446165354779675
160,-0.014464500383622266,-0.7481377071053519,0.020015067809221097,0.8890663431668578,0.02209164858585763,-0.08886480353604705
161,0.01201138240822119,0.6212567220245601,-0.003256526886813202,0.321727887155985,0.005412630402806831,1.2382438519002459
162,0.009898237207479503,0.5119599220428892,-0.00963219134271108,-0.28602127965228147,-0.00874555838819363,0.19079673897985805
163,-0.007402727130825574,-0.3828863185798823,-0.002390968938430323,-0.5471245529873239,-0.004670090544090724,0.5570026042432866
