t,filtered_r_n,filtered_std_r_n,lower_95_r_n,upper_95_r_n,filter_error_r_n,filtered_u,filtered_std_u,lower_95_u,upper_95_u,filter_error_u,filtered_nu,filtered_std_nu,lower_95_nu,upper_95_nu,filter_error_nu
56,0.001027119609558729,0.001125794356298864,-0.0011794373287870442,0.003233676547904502,0.00038144940842928157,0.011854359810343842,0.0007150903470662122,0.010452782730094066,0.013255936890593619,-0.0008963517688980356,-0.0011969055457626695,0.0019347443994529822,-0.004989004568690515,0.0025951934771651754,0.0010097179572555904
57,0.00954554551298052,0.001125794356298864,0.007338988574634747,0.011752102451326293,0.0012624828550489714,-0.004247833342268557,0.0007150903470662122,-0.0056494104225183325,-0.002846256262018781,-1.5986572475895633e-05,-0.0023642150476898016,0.0019347443994529822,-0.006156314070617647,0.0014278839752380435,0.001778515452656153
58,0.007170830293362894,0.001125794356298864,0.0049642733550171216,0.009377387231708667,-0.0005428581547192541,-0.0069073517776464775,0.0007150903470662122,-0.008308928857896254,-0.005505774697396702,9.912381527752388e-05,-0.00024315619642030744,0.0019347443994529822,-0.004035255219348152,0.0035489428265075376,0.0008833403302023372
59,0.0006516499918852352,0.001125794356298864,-0.001554906946460538,0.0028582069302310084,0.00019243688879878526,-0.018830307171925957,0.0007150903470662122,-0.020231884252175734,-0.01742873009167618,0.00039209810941354464,-0.0003250370484201307,0.0019347443994529822,-0.004117136071347976,0.0034670619745077146,-0.0009338893281703666
60,-0.012607531064637087,0.001125794356298864,-0.01481408800298286,-0.010400974126291315,-0.0006105540992269141,-0.013473849335980805,0.0007150903470662122,-0.014875426416230582,-0.012072272255731029,-0.0001526267264107574,0.002696157437712531,0.0019347443994529822,-0.0010959415852153142,0.006488256460640376,-0.0006697118297538133
61,0.006555096220137438,0.001125794356298864,0.004348539281791665,0.00876165315848321,0.0011214481970755023,-0.011512425559678505,0.0007150903470662122,-0.012914002639928281,-0.010110848479428728,0.00027845294389531976,-0.0007434404589484322,0.0019347443994529822,-0.0045355394818762775,0.0030486585639794127,-0.001627379712179779
62,0.0043953883506064806,0.001125794356298864,0.0021888314122607074,0.006601945288952254,-0.000382199534550676,0.0038053920997812418,0.0007150903470662122,0.002403815019531466,0.0052069691800310175,0.0006021928816996669,0.0032003466058220997,0.0019347443994529822,-0.0005917524171057454,0.006992445628749944,-0.0006646889133664117
63,0.0008689950474715562,0.001125794356298864,-0.001337561890874217,0.0030755519858173294,-0.0002731562280538103,-0.003951281404381486,0.0007150903470662122,-0.005352858484631262,-0.00254970432413171,-0.0001645530671557315,0.002610909633542685,0.0019347443994529822,-0.00118118938938516,0.006403008656470531,0.0026066299064394865
64,-0.004551947804686261,0.001125794356298864,-0.006758504743032034,-0.0023453908663404878,-0.0007696128891423715,0.007603565563307689,0.0007150903470662122,0.006201988483057913,0.009005142643557465,0.00015336006905295168,-0.001673134918417495,0.0019347443994529822,-0.00546523394134534,0.00211896410451035,0.0026759646877793255
65,-0.015781970541825598,0.001125794356298864,-0.017988527480171372,-0.013575413603479825,0.002234415582698157,-0.01915118643027065,0.0007150903470662122,-0.020552763510520426,-0.017749609350020873,-0.0008115377129097323,-0.0020201538405610784,0.0019347443994529822,-0.005812252863488923,0.0017719451823667667,0.0004893700820387792
66,-0.006414217588641276,0.001125794356298864,-0.008620774526987049,-0.004207660650295503,0.00034557755210718084,-0.012310337721495035,0.0007150903470662122,-0.013711914801744812,-0.010908760641245258,0.0003902131829323606,-0.004631979675186833,0.0019347443994529822,-0.008424078698114679,-0.000839880652258988,-0.00044491446121484174
67,-0.007936774890974498,0.001125794356298864,-0.01014333182932027,-0.005730217952628725,-0.0011160255762801127,-0.006527722359817714,0.0007150903470662122,-0.00792929944006749,-0.005126145279567939,-0.00028268247389626796,-0.0021693938205434036,0.0019347443994529822,-0.005961492843471248,0.0016227052023844416,-0.0017087381807202417
68,-0.006048383589723235,0.001125794356298864,-0.008254940528069007,-0.0038418266513774615,-0.0008075791606305567,-0.013206137720339054,0.0007150903470662122,-0.014607714800588829,-0.011804560640089279,0.00025007262244038965,-0.0011295508266622955,0.0019347443994529822,-0.004921649849590141,0.0026625481962655496,-0.0013153220481220847
69,0.009624623306806402,0.001125794356298864,0.007418066368460629,0.011831180245152175,-0.0008835119827278783,-0.014719117453843682,0.0007150903470662122,-0.01612069453409346,-0.013317540373593905,0.0006638018637860413,-0.00011910676014035524,0.0019347443994529822,-0.003911205783068201,0.00367299226278749,-0.0006591131041334894
70,0.009186738387270191,0.001125794356298864,0.006980181448924419,0.011393295325615964,0.0002681760172542052,-0.007527274960381445,0.0007150903470662122,-0.008928852040631222,-0.006125697880131669,0.000752606226107207,-0.005801137011899419,0.0019347443994529822,-0.009593236034827264,-0.0020090379889715743,0.00034401401333147754
