scenario,scenario_label,period,hidden_regime,full_information_rate,filtered_rate,rate_gap,abs_rate_gap,full_policy_loss,filtered_policy_loss,excess_loss,full_inflation_gap,filtered_inflation_gap,full_output_gap,filtered_output_gap,full_low_liquidity_gap,filtered_low_liquidity_gap,full_mean_mpc_gap,filtered_mean_mpc_gap,stress_probability
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",17,0,-0.002095927475815219,-0.0029649491836784905,-0.0008690217078632717,0.0008690217078632717,2.3543511939293845e-05,4.312975990309362e-05,1.9586247963799777e-05,-0.0008787790089517587,-0.0011399459755352388,-0.006748519339664865,-0.009146594695194271,0.000871937451325127,0.0009907594342771409,0.002547714514339743,0.003112678019997711,0.16980745464320593
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",18,0,-0.002106925013435735,-0.002976098646573811,-0.0008691736331380758,0.0008691736331380758,1.6131207270434267e-05,3.4840704604998566e-05,1.87094973345643e-05,-0.0009143491173558933,-0.0012021705295239494,-0.005530852902533764,-0.008172574185336776,0.0007519045802482172,0.0008827030380792008,0.0035548599126881165,0.004200033763401333,0.4199356250617465
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",19,0,-0.0020087433393211683,-0.002916132816300846,-0.0009073894769796777,0.0009073894769796777,1.3606597394625733e-05,3.145243527531434e-05,1.7845837880688604e-05,-0.00063222383025176,-0.00092639123119888,-0.005139340121266723,-0.007822282885070336,0.0006377932003234049,0.0007884256249807094,0.0009873941459638469,0.0017165416966311085,0.31481631844804275
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",20,0,-0.0016614644343195878,-0.002545645680828877,-0.000884181246509289,0.000884181246509289,4.536610984569912e-06,1.6852681592818736e-05,1.2316070608248823e-05,-0.00027652884246774564,-0.0005797998027471947,-0.0029846650237373056,-0.005746242380142964,0.0003086473787657646,0.0004713452545973723,0.00011840886274417403,0.0008544444568007149,0.07651204102079942
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",21,0,-0.0015336350157183164,-0.002360035730462883,-0.0008264007147445664,0.0008264007147445664,1.2899186089582254e-05,3.048925004027744e-05,1.7590063950695186e-05,-0.0003626049420058257,-0.0006604912256692085,-0.005053095433019687,-0.007752583934199963,0.00023331379415317973,0.0004061430217979914,0.00013930463769872405,0.0009109741632865245,0.05683016121212386
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",22,0,-0.0019163799407854243,-0.002587743846491847,-0.0006713639057064227,0.0006713639057064227,4.1855208686239504e-05,6.827640590979632e-05,2.642119722355681e-05,-0.0010094313204031737,-0.0012878197286511686,-0.009036474136713431,-0.011542558962984584,0.0001760288143729397,0.0003560083792650118,0.003882935227101687,0.004647967877348247,0.050328418877618214
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",23,0,-0.0023103219554816497,-0.00303489241575399,-0.0007245704602723401,0.0007245704602723401,6.58282951284059e-05,9.150835288826838e-05,2.568005775986247e-05,-0.0013844884008108855,-0.001613590808541981,-0.011305195927614777,-0.013333767696994542,0.0005210697353171383,0.0007049779126644342,0.005375746787190281,0.006111865722589665,0.12561162909809614
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",24,0,-0.002515562342356079,-0.0033343560172001433,-0.0008187936748440643,0.0008187936748440643,4.618840937484449e-05,6.807236085893833e-05,2.1883951484093846e-05,-0.0014922226823927184,-0.0017189930347304135,-0.009376521173673843,-0.011411655434953958,0.0007719227285042533,0.000931993782140941,0.006909820155797851,0.007471078868980125,0.3907041253923102
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",25,0,-0.002223376736028947,-0.003133804254800522,-0.0009104275187715749,0.0009104275187715749,1.207806600563912e-05,2.6321539536671763e-05,1.4243473531032644e-05,-0.0008879564657465323,-0.0011424523288566712,-0.004750859016883328,-0.007073094253930405,0.0010604306914454233,0.0011957493052079612,0.0036079873084070677,0.0041524139010791486,0.06727812780224142
macro_core_strong_gap,"Фильтрация: инфляция, выпуск и ставка × сильный режимный разрыв",26,0,-0.002566059001340707,-0.0034731964207609517,-0.0009071374194202448,0.0009071374194202448,5.1523334367853725e-05,8.250119126355004e-05,3.097785689569632e-05,-0.0014849960868029096,-0.0017752629225010006,-0.009930986802255435,-0.012597132488580683,0.0008416850040018854,0.000973095378335651,0.0065270056083788636,0.007145334769357566,0.596742341855268
