scenario,scenario_label,period,hidden_regime,policy_name,policy_label,filtered_rstar_gap,true_rstar_gap,filtered_productivity_gap,true_productivity_gap,filtered_fiscal_gap,true_fiscal_gap,filtered_inflation_gap,true_inflation_gap,filtered_output_gap,true_output_gap,filtered_low_liquidity_gap,true_low_liquidity_gap,filtered_mean_mpc_gap,true_mean_mpc_gap,p_normal,p_stress,policy_rate
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,10,0,classical_filtered_rule,Classical: switching filter + fixed rule,3.9510025158867576e-05,0.00043770047337711264,-0.0002585694070347271,-0.001092241322868364,-2.764736525863004e-05,-1.955248454991776e-05,0.001544321300587806,0.0015135986484374883,0.01321000105584579,0.016134742752829997,-0.00120886658688998,-0.0007405597218696996,-0.004369002014193525,-0.0033827257348976263,0.7676633091528363,0.23233669084716368,0.0038026346121286174
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,11,0,classical_filtered_rule,Classical: switching filter + fixed rule,4.6003147633984464e-05,0.00019936207630254652,-0.00031728029014154406,-0.001417425602199407,-4.019845357794262e-05,-0.0003085317172262907,0.0016408737540110168,0.0014561781603931075,0.013923569253577612,0.013722241927027172,-0.0012659572242572472,-0.0008261859219897096,-0.004919223052278378,-0.004003953434882523,0.7590892464820829,0.2409107535179172,0.003936172209094346
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,12,0,classical_filtered_rule,Classical: switching filter + fixed rule,3.802836952106182e-05,-7.013760030747751e-06,-0.00024373481345224622,-0.001014467193562029,-2.6148115492920164e-05,-0.00027581202800503493,0.001574635541366308,0.0014878073348035118,0.013421472476556657,0.016661628861398662,-0.0013100295864276973,-0.0010232758122496303,-0.004313329150714393,-0.002526912466284242,0.773662758087294,0.22633724191270607,0.0039786202687080744
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,13,0,classical_filtered_rule,Classical: switching filter + fixed rule,2.505484203656984e-05,0.00017211274952146723,-0.00012975334435367335,-0.0013894782430540697,-5.881529015002074e-06,-0.00021329910520537947,0.0014044796025099275,0.001699267692790147,0.011982050212255511,0.016719691995483846,-0.001253811138978482,-0.0009185404897184521,-0.003754773846220055,-0.004865679576073455,0.7900970627721328,0.20990293722786715,0.0038738933447956723
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,14,0,classical_filtered_rule,Classical: switching filter + fixed rule,4.8564846532832125e-05,0.00012438911409364236,-0.0003468956385158863,-0.001999747879684991,-5.008437295932163e-05,3.5634087181959966e-05,0.0016926453226167358,0.001693935964574006,0.014337989965183873,0.01541941599560147,-0.0012082145412789522,-0.0011098784872777768,-0.005382477961623859,-0.005529511325630194,0.7615088037552342,0.23849119624476575,0.004025659814188747
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,15,0,classical_filtered_rule,Classical: switching filter + fixed rule,3.6253593944407715e-05,-2.6366895385216666e-05,-0.00023210641755384137,-0.0024556919502974487,-2.6376629142986202e-05,0.000227706732883673,0.0015092202095291533,0.0013983000110003442,0.012773986924902704,0.014640090201025954,-0.0013370556772108679,-0.0009949833352454343,-0.004250701929176818,-0.0030469651878445507,0.7818974794421616,0.2181025205578384,0.003987011552087416
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,16,0,classical_filtered_rule,Classical: switching filter + fixed rule,6.576400773710898e-05,-5.416533696003517e-05,-0.0004981108880918492,-0.0019561546964174522,-7.76953367393701e-05,-1.079951994816165e-05,0.0020199913604371845,0.00210621068679444,0.017162181795779757,0.023998224608367043,-0.0013343117554849918,-0.0007488711850823257,-0.006106634725197617,-0.004368696649993754,0.7156141968734699,0.28438580312653006,0.004363215218320798
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,17,0,classical_filtered_rule,Classical: switching filter + fixed rule,8.596297103525142e-05,-0.00044439510320812904,-0.0006692127001579359,-0.0015984531136828079,-0.00010603870885794548,0.00022371436376035248,0.002418265082096892,0.0025862507265045484,0.019941149850617568,0.024383416757838606,-0.0018324603446774807,-0.001167598287754107,-0.007513598261603643,-0.008008894002076819,0.6005244778826531,0.39947552211734694,0.0049160519504768945
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,18,0,classical_filtered_rule,Classical: switching filter + fixed rule,6.868717092673921e-05,-8.55675847569984e-07,-0.0004948750267459207,-0.0005827248783641866,-6.635739531199997e-05,0.00015651254907289794,0.002254951890851024,0.002351398187485051,0.018596897544451818,0.02273392358831294,-0.0020795551488738467,-0.0014427495688876814,-0.006380393897233657,-0.006758356365397782,0.6586850451885277,0.3413149548114723,0.005173954525411752
thin_information_moderate_gap,Фильтрация: инфляция и ставка × умеренный режимный разрыв,19,0,classical_filtered_rule,Classical: switching filter + fixed rule,8.014330685494672e-05,0.0003167461979935451,-0.0005898043586665889,-0.0002524683054139518,-8.308185047723508e-05,-8.36883658637023e-05,0.0025146074242289695,0.0024163408048454033,0.02081685545040784,0.021851656143833005,-0.002095010559850943,-0.0014639707213755645,-0.007441688455809505,-0.007487815340945074,0.6339113458239136,0.3660886541760863,0.005558016580138041
