scenario,scenario_label,period,grouping,group,group_label,group_mass,mean_consumption,mean_labor_income,mean_financial_income,mean_disposable_income,mean_liquid_assets,mean_illiquid_assets,mean_total_wealth,mean_mpc,aggregate_group_consumption,baseline_group_consumption,aggregate_group_consumption_change,aggregate_group_consumption_contribution_pct,consumption_pct_deviation
low_phi_y,Слабая реакция на выпуск,50,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20089264034383547,0.6550633563973917,0.3940502794499829,0.2878457630375882,0.6818960424875711,0.10991740896576328,23.05222448348698,23.162141892452745,0.11786256756062118,0.1315974072591669,0.13158029949700933,1.710776215757548e-05,0.003108768392458948,0.013001765631308901
low_phi_y,Слабая реакция на выпуск,51,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.2008903436575064,0.6550621328341445,0.3940487498196813,0.2878478984527942,0.6818966482724755,0.10991946371262255,23.05233789747954,23.16225736119216,0.11786256756062118,0.1315956569820704,0.13158029949700933,1.5357485061068266e-05,0.0027907135781852395,0.011671568707302815
low_phi_y,Слабая реакция на выпуск,52,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20088846186644774,0.6550596020623934,0.39404576768016625,0.28784151759809967,0.6818872852782658,0.10992208646380842,23.052410575822307,23.16233266228612,0.11786256756062118,0.13159391588916156,0.13158029949700933,1.3616392152221435e-05,0.0024743276854248203,0.010348351694191819
low_phi_y,Слабая реакция на выпуск,53,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20088716344656227,0.6550553689317442,0.3940407785936482,0.2878224186366472,0.6818631972302955,0.10992528106393831,23.052421113680825,23.16234639474476,0.11786256756062118,0.13159221496513945,0.13158029949700933,1.1915468130119233e-05,0.0021652411556273513,0.009055662721295188
low_phi_y,Слабая реакция на выпуск,54,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.2008866061955554,0.6550490848849462,0.3940332427116815,0.2877856476996453,0.6818188904113269,0.1099289671783652,23.05234677730019,23.16227574447856,0.11786256756062118,0.13159058755404113,0.13158029949700933,1.028805703179314e-05,0.0018695131616668567,0.007818842996346102
low_phi_y,Слабая реакция на выпуск,55,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20088690213610283,0.6550405155958747,0.3940227508114369,0.2877259187770501,0.6817486695884871,0.10993295254761186,23.052165603772117,23.162098556319727,0.11786256756062118,0.13158905995169082,0.13158029949700933,8.760454681483454e-06,0.0015919220974968493,0.006657877140401682
low_phi_y,Слабая реакция на выпуск,56,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20088807282566665,0.6550296155764536,0.3940092071063699,0.2876384790814956,0.6816476861878655,0.10993691751445722,23.051858921281138,23.161795838795594,0.11786256756062118,0.13158763711689103,0.13158029949700933,7.337619881697677e-06,0.0013333690610141662,0.0055765338046403
low_phi_y,Слабая реакция на выпуск,57,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.2008900049610381,0.6550165863599645,0.3939930929579835,0.2875206327134061,0.6815137256713897,0.10994043136158231,23.051413496526756,23.16135392788834,0.11786256756062118,0.1315862852834155,0.13158029949700933,5.985786406176308e-06,0.0010877181604545137,0.0045491509208127
low_phi_y,Слабая реакция на выпуск,58,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20089243095868803,0.6550018735875438,0.39397581611180676,0.28737418490489586,0.6813500010167026,0.10994303126879576,23.05082170870167,23.160764739970467,0.11786256756062118,0.13158491866749694,0.13158029949700933,4.619170487607516e-06,0.0008393810411313626,0.0035105334957171944
low_phi_y,Слабая реакция на выпуск,59,liquid_wealth_quantile,liquid_q3,3-й квантиль ликвидного богатства,0.20089498467182207,0.654986026777734,0.3939601348246871,0.28720910289384133,0.6811692377185283,0.10994440692501978,23.050076669840056,23.16002107676508,0.11786256756062118,0.13158340780977051,0.13158029949700933,3.1083127611797323e-06,0.0005648327570157077,0.0023622934231506145
low_phi_y,Слабая реакция на выпуск,0,liquid_wealth_quantile,liquid_q4,4-й квантиль ликвидного богатства,0.20059742605337763,0.5507663110146804,0.4927165366027425,0.1002080653601941,0.5929246019629365,0.857596521609587,9.246597040617978,10.104193562227568,0.049133794450496614,0.11048230434645895,0.1106791696486488,-0.000196865302189847,-0.035773739626645,-0.17787023774644878
low_phi_y,Слабая реакция на выпуск,1,liquid_wealth_quantile,liquid_q4,4-й квантиль ликвидного богатства,0.20036917517863628,0.5520481359320125,0.493347405212871,0.12460471267404137,0.6179521178869124,0.8579848849146555,9.255072757569597,10.113057642484252,0.049133794450496614,0.11061342965560103,0.1106791696486488,-6.573999304776423e-05,-0.011946063466685693,-0.059396897588277854
low_phi_y,Слабая реакция на выпуск,2,liquid_wealth_quantile,liquid_q4,4-й квантиль ликвидного богатства,0.20014415853844542,0.5533274529516886,0.49717974048295666,0.11999255088976857,0.6171722913727251,0.8582070472983793,9.283191034059543,10.141398081357922,0.049133794450496614,0.11074525746723696,0.1106791696486488,6.608781858816193e-05,0.01200926922300371,0.059711162270152385
