scenario,scenario_label,period,b,a,delta_mass,steady_mass,path_mass
baseline,Базовое правило,4,0.89564392373896,9.782221393259215,1.194768135260411e-05,0.0032355798868465868,0.003247527568199191
baseline,Базовое правило,4,0.89564392373896,13.396413685888078,2.078229880754165e-06,0.0035259317287846008,0.003528009958665355
baseline,Базовое правило,4,0.89564392373896,18.312649206637353,1.2054294650635546e-06,0.0037994427591000464,0.00380064818856511
baseline,Базовое правило,4,0.89564392373896,25.0,0.0001039735866312265,0.00591730028459476,0.006021273871225987
baseline,Базовое правило,4,0.89564392373896,47.15592934036566,-9.852324088036979e-06,0.0008926694838228079,0.0008828171597347709
baseline,Базовое правило,4,0.89564392373896,79.08071848043826,-1.5907059639833879e-09,2.6948310434649866e-05,2.6946719728685883e-05
baseline,Базовое правило,4,0.89564392373896,125.08159463331742,9.610115746402295e-09,2.9134761167240603e-07,3.009577274188083e-07
baseline,Базовое правило,4,0.89564392373896,191.36490186357162,1.4451570041191848e-10,1.55002354452576e-09,1.6945392449376784e-09
baseline,Базовое правило,4,0.89564392373896,286.87344832644783,9.093190635455222e-13,4.480455441580932e-12,5.3897745051264544e-12
baseline,Базовое правило,4,0.89564392373896,424.49305164171244,2.370165526463463e-15,7.879684248470265e-15,1.0249849774933728e-14
baseline,Базовое правило,4,0.89564392373896,622.7910670346317,4.5966146790131874e-18,1.0256538005861268e-17,1.4853152684874456e-17
baseline,Базовое правило,4,0.89564392373896,908.5214569027802,2.1907326446918722e-21,2.303937396177043e-21,4.494670040868915e-21
baseline,Базовое правило,4,0.89564392373896,1320.234380667721,5.405150728582558e-25,2.509943728262595e-25,7.915094456845153e-25
baseline,Базовое правило,4,0.89564392373896,1913.4773033869203,1.3520591799551404e-29,1.0254250100810404e-30,1.4546016809632446e-29
baseline,Базовое правило,4,0.89564392373896,2768.2893460551436,2.043336730761295e-37,0.0,2.043336730761295e-37
baseline,Базовое правило,4,0.89564392373896,4000.0,0.0,0.0,0.0
baseline,Базовое правило,4,1.3033580968401854,0.0,4.987484801702118e-07,7.49908257275675e-05,7.548957420773771e-05
baseline,Базовое правило,4,1.3033580968401854,0.09006460660490612,1.5413300260539884e-06,0.0002250619293340523,0.00022660325936010628
baseline,Базовое правило,4,1.3033580968401854,0.21257574666139822,2.509952313606051e-06,0.00041157459477817837,0.0004140845470917844
baseline,Базовое правило,4,1.3033580968401854,0.3792225572535164,1.7896119221719837e-06,0.0006207164025872298,0.0006225060145094018
baseline,Базовое правило,4,1.3033580968401854,0.6059052855974003,2.05173155742866e-06,0.0008259100838982308,0.0008279618154556595
baseline,Базовое правило,4,1.3033580968401854,0.9142523769509592,1.8753521081838961e-06,0.0010227434418942929,0.0010246187940024768
baseline,Базовое правило,4,1.3033580968401854,1.333684106226619,2.3402126973015927e-06,0.0012330709418520015,0.001235411154549303
baseline,Базовое правило,4,1.3033580968401854,1.9042196502815902,3.172753005329385e-06,0.0014912347841869076,0.001494407537192237
baseline,Базовое правило,4,1.3033580968401854,2.6802954316542698,2.32678587632016e-06,0.001868333241255701,0.0018706600271320211
baseline,Базовое правило,4,1.3033580968401854,3.7359590528066504,2.4736202701870075e-06,0.0022966034931334828,0.0022990771134036698
baseline,Базовое правило,4,1.3033580968401854,5.171934388943833,-1.0550259258862438e-06,0.0028067477544613468,0.0028056927285354605
baseline,Базовое правило,4,1.3033580968401854,7.125231940055185,-4.032925430758668e-06,0.0033550458512225847,0.003351012925791826
baseline,Базовое правило,4,1.3033580968401854,9.782221393259215,-7.468384762235585e-06,0.003862837329049643,0.0038553689442874075
baseline,Базовое правило,4,1.3033580968401854,13.396413685888078,-7.32593254458222e-06,0.0043311688257297466,0.004323842893185164
baseline,Базовое правило,4,1.3033580968401854,18.312649206637353,7.947962494344978e-06,0.004904181657376061,0.004912129619870406
baseline,Базовое правило,4,1.3033580968401854,25.0,0.00034297840800595267,0.016980534336088274,0.017323512744094226
baseline,Базовое правило,4,1.3033580968401854,47.15592934036566,3.038325184974997e-07,0.000819404767366478,0.0008197085998849755
baseline,Базовое правило,4,1.3033580968401854,79.08071848043826,4.868133939493443e-08,1.7616352925974112e-05,1.7665034265369047e-05
baseline,Базовое правило,4,1.3033580968401854,125.08159463331742,5.858758315453197e-09,1.8312946088152167e-07,1.8898821919697486e-07
baseline,Базовое правило,4,1.3033580968401854,191.36490186357162,9.723578009870083e-11,1.1487544386819953e-09,1.2459902187806962e-09
baseline,Базовое правило,4,1.3033580968401854,286.87344832644783,6.606457572978046e-13,4.403655635559791e-12,5.064301392857596e-12
baseline,Базовое правило,4,1.3033580968401854,424.49305164171244,2.9908286821992866e-15,8.67288126856967e-15,1.1663709950768957e-14
baseline,Базовое правило,4,1.3033580968401854,622.7910670346317,4.828315107382589e-18,9.305077758655593e-18,1.413339286603818e-17
baseline,Базовое правило,4,1.3033580968401854,908.5214569027802,1.7811929735139587e-21,5.3604760946103134e-21,7.141669068124272e-21
baseline,Базовое правило,4,1.3033580968401854,1320.234380667721,3.7016674875716924e-25,2.0400546526761528e-25,5.741722140247845e-25
baseline,Базовое правило,4,1.3033580968401854,1913.4773033869203,2.6278981781218353e-30,9.114659194313105e-31,3.5393640975531456e-30
baseline,Базовое правило,4,1.3033580968401854,2768.2893460551436,2.119896868832585e-37,0.0,2.119896868832585e-37
baseline,Базовое правило,4,1.3033580968401854,4000.0,0.0,0.0,0.0
baseline,Базовое правило,4,1.8561704487936153,0.0,-2.1080535876088114e-07,6.762433824618154e-05,6.741353288742066e-05
baseline,Базовое правило,4,1.8561704487936153,0.09006460660490612,1.2445560377546483e-07,0.0002317961264708842,0.00023192058207465967
baseline,Базовое правило,4,1.8561704487936153,0.21257574666139822,4.980549390727488e-07,0.0004405304709360627,0.0004410285258751354
baseline,Базовое правило,4,1.8561704487936153,0.3792225572535164,8.009967702817845e-07,0.0006618184433725071,0.0006626194401427889
baseline,Базовое правило,4,1.8561704487936153,0.6059052855974003,6.412226192921509e-07,0.0008816236374794236,0.0008822648600987158
baseline,Базовое правило,4,1.8561704487936153,0.9142523769509592,-1.6796316806302024e-07,0.001099634472062015,0.001099466508893952
baseline,Базовое правило,4,1.8561704487936153,1.333684106226619,-1.1284288867683106e-06,0.0013417503781933515,0.0013406219493065832
baseline,Базовое правило,4,1.8561704487936153,1.9042196502815902,-1.9275787297027072e-06,0.0016465775608259067,0.001644649982096204
baseline,Базовое правило,4,1.8561704487936153,2.6802954316542698,-3.1933636039115955e-06,0.0020937340442550687,0.002090540680651157
baseline,Базовое правило,4,1.8561704487936153,3.7359590528066504,-5.566632430530072e-06,0.0026241372903316115,0.0026185706579010815
baseline,Базовое правило,4,1.8561704487936153,5.171934388943833,-8.686762048782087e-06,0.003265352943509873,0.003256666181461091
baseline,Базовое правило,4,1.8561704487936153,7.125231940055185,-9.354276880931857e-06,0.00398044459852422,0.003971090321643288
baseline,Базовое правило,4,1.8561704487936153,9.782221393259215,-8.002777699811676e-06,0.004690572613602875,0.004682569835903063
baseline,Базовое правило,4,1.8561704487936153,13.396413685888078,-1.0336756343133635e-06,0.0054304269538455515,0.005429393278211238
baseline,Базовое правило,4,1.8561704487936153,18.312649206637353,0.00017887907463141374,0.007513329876290081,0.007692208950921495
baseline,Базовое правило,4,1.8561704487936153,25.0,-0.0005331541702195599,0.007620548650686059,0.007087394480466499
baseline,Базовое правило,4,1.8561704487936153,47.15592934036566,-1.3459821552277442e-05,0.00037261086443138823,0.0003591510428791108
baseline,Базовое правило,4,1.8561704487936153,79.08071848043826,-3.069161510483997e-08,8.764957402551855e-06,8.734265787447015e-06
baseline,Базовое правило,4,1.8561704487936153,125.08159463331742,3.1998855647229758e-09,1.0553093613540984e-07,1.0873082170013281e-07
baseline,Базовое правило,4,1.8561704487936153,191.36490186357162,5.496887573287605e-11,7.340291913348876e-10,7.889980670677637e-10
baseline,Базовое правило,4,1.8561704487936153,286.87344832644783,4.575888156413367e-13,3.810257056343323e-12,4.26784587198466e-12
baseline,Базовое правило,4,1.8561704487936153,424.49305164171244,2.6026552762748565e-15,1.03163006639154e-14,1.2918955940190256e-14
baseline,Базовое правило,4,1.8561704487936153,622.7910670346317,4.8712527222704414e-18,1.098623623339465e-17,1.585748895566509e-17
baseline,Базовое правило,4,1.8561704487936153,908.5214569027802,3.3263355670579948e-21,3.0592627248989893e-21,6.385598291956984e-21
baseline,Базовое правило,4,1.8561704487936153,1320.234380667721,4.954637028719832e-26,9.409747223254982e-26,1.4364384251974814e-25
baseline,Базовое правило,4,1.8561704487936153,1913.4773033869203,2.335004815156399e-30,1.0786288667302683e-30,3.4136336818866676e-30
baseline,Базовое правило,4,1.8561704487936153,2768.2893460551436,3.4431230555651343e-38,0.0,3.4431230555651343e-38
baseline,Базовое правило,4,1.8561704487936153,4000.0,0.0,0.0,0.0
baseline,Базовое правило,4,2.605718825166612,0.0,-6.107914405543378e-07,5.1785233211701964e-05,5.1174441771147626e-05
baseline,Базовое правило,4,2.605718825166612,0.09006460660490612,-1.6354645924415516e-06,0.00021584937745112076,0.0002142139128586792
baseline,Базовое правило,4,2.605718825166612,0.21257574666139822,-2.1652048043529376e-06,0.00045896394471377623,0.0004567987399094233
baseline,Базовое правило,4,2.605718825166612,0.3792225572535164,-2.2371745113035054e-06,0.0007221590062683751,0.0007199218317570716
baseline,Базовое правило,4,2.605718825166612,0.6059052855974003,-2.361081271426424e-06,0.0009780816534796382,0.0009757205722082118
baseline,Базовое правило,4,2.605718825166612,0.9142523769509592,-2.6693765652356562e-06,0.0012292066588798969,0.0012265372823146612
