output,input,response_period,shock_period,value
Y,monetary_policy_shock,4,3,-0.4327616671691545
Y,monetary_policy_shock,4,4,-0.9050467727291445
Y,monetary_policy_shock,4,5,-0.48916857632737853
Y,monetary_policy_shock,4,6,-0.18664181949817285
Y,monetary_policy_shock,4,7,0.015790981571068056
Y,monetary_policy_shock,4,8,0.1381481217280569
Y,monetary_policy_shock,4,9,0.20114014608650924
Y,monetary_policy_shock,4,10,0.22311692470202216
Y,monetary_policy_shock,4,11,0.21887856571034792
Y,monetary_policy_shock,4,12,0.19954112181110845
Y,monetary_policy_shock,4,13,0.17293836056548018
Y,monetary_policy_shock,4,14,0.1442378693307694
Y,monetary_policy_shock,4,15,0.11658578147930461
Y,monetary_policy_shock,4,16,0.09168474653923435
Y,monetary_policy_shock,4,17,0.07026633514892727
Y,monetary_policy_shock,4,18,0.05245184175365759
Y,monetary_policy_shock,4,19,0.03801237714718665
Y,monetary_policy_shock,4,20,0.02654615770255383
Y,monetary_policy_shock,4,21,0.017592156097615642
Y,monetary_policy_shock,4,22,0.010697537502595235
Y,monetary_policy_shock,4,23,0.005453293713883495
Y,monetary_policy_shock,4,24,0.001509215987830006
Y,monetary_policy_shock,4,25,-0.0014236528049307593
Y,monetary_policy_shock,4,26,-0.0035774435292704977
Y,monetary_policy_shock,4,27,-0.005135061806717056
Y,monetary_policy_shock,4,28,-0.006238688989365757
Y,monetary_policy_shock,4,29,-0.006997902198414065
Y,monetary_policy_shock,4,30,-0.007496789946807622
Y,monetary_policy_shock,4,31,-0.007799848303228376
Y,monetary_policy_shock,4,32,-0.00795667635019402
Y,monetary_policy_shock,4,33,-0.008005607401848153
Y,monetary_policy_shock,4,34,-0.007976457215401708
Y,monetary_policy_shock,4,35,-0.007892573491046766
Y,monetary_policy_shock,4,36,-0.007772351456544793
Y,monetary_policy_shock,4,37,-0.007630353250818168
Y,monetary_policy_shock,4,38,-0.007478139243134853
Y,monetary_policy_shock,4,39,-0.007324893570051585
Y,monetary_policy_shock,4,40,-0.007177904038685223
Y,monetary_policy_shock,4,41,-0.007042939910015179
Y,monetary_policy_shock,4,42,-0.006924557863663553
Y,monetary_policy_shock,4,43,-0.00682635784089367
Y,monetary_policy_shock,4,44,-0.006751203659663679
Y,monetary_policy_shock,4,45,-0.006701418533560191
Y,monetary_policy_shock,4,46,-0.00667896008721035
Y,monetary_policy_shock,4,47,-0.006685571194729225
Y,monetary_policy_shock,4,48,-0.006722884819259075
Y,monetary_policy_shock,4,49,-0.006792423335116832
Y,monetary_policy_shock,4,50,-0.006895348914811436
Y,monetary_policy_shock,4,51,-0.00703164588051871
Y,monetary_policy_shock,4,52,-0.007198046901197548
Y,monetary_policy_shock,4,53,-0.007383258732823949
Y,monetary_policy_shock,4,54,-0.007557506043136243
Y,monetary_policy_shock,4,55,-0.007650323932774336
Y,monetary_policy_shock,4,56,-0.007504376612044273
Y,monetary_policy_shock,4,57,-0.006780907240699062
Y,monetary_policy_shock,4,58,-0.004768494550228846
Y,monetary_policy_shock,4,59,-0.0
Y,monetary_policy_shock,5,0,0.05647477457953416
Y,monetary_policy_shock,5,1,0.042820323824811234
Y,monetary_policy_shock,5,2,-0.0015551955531098332
Y,monetary_policy_shock,5,3,-0.11771072339565668
Y,monetary_policy_shock,5,4,-0.3830843146455478
Y,monetary_policy_shock,5,5,-0.8665488091287177
Y,monetary_policy_shock,5,6,-0.46046395761385506
Y,monetary_policy_shock,5,7,-0.16588472860467504
Y,monetary_policy_shock,5,8,0.030448060263651943
Y,monetary_policy_shock,5,9,0.14832871570085188
Y,monetary_policy_shock,5,10,0.20816017585146032
Y,monetary_policy_shock,5,11,0.22798130112630802
Y,monetary_policy_shock,5,12,0.2223177115873688
Y,monetary_policy_shock,5,13,0.20206266836660425
Y,monetary_policy_shock,5,14,0.17487995638939516
Y,monetary_policy_shock,5,15,0.14581403048316938
Y,monetary_policy_shock,5,16,0.11792602743914396
Y,monetary_policy_shock,5,17,0.09286273521067152
Y,monetary_policy_shock,5,18,0.07132096458219975
Y,monetary_policy_shock,5,19,0.053401787186194906
Y,monetary_policy_shock,5,20,0.038865598988994596
Y,monetary_policy_shock,5,21,0.027305760216934188
Y,monetary_policy_shock,5,22,0.01825972946880989
Y,monetary_policy_shock,5,23,0.011274854111024057
Y,monetary_policy_shock,5,24,0.005942992395464132
Y,monetary_policy_shock,5,25,0.0019149124645626947
Y,monetary_policy_shock,5,26,-0.0010975421291692267
Y,monetary_policy_shock,5,27,-0.003325987500535727
Y,monetary_policy_shock,5,28,-0.00495310979219491
Y,monetary_policy_shock,5,29,-0.006121125429154994
Y,monetary_policy_shock,5,30,-0.006939841507854114
Y,monetary_policy_shock,5,31,-0.007493710584831136
Y,monetary_policy_shock,5,32,-0.007847673752309558
Y,monetary_policy_shock,5,33,-0.008051814174060538
Y,monetary_policy_shock,5,34,-0.008144957845286955
Y,monetary_policy_shock,5,35,-0.00815740150974004
Y,monetary_policy_shock,5,36,-0.008112950128266534
Y,monetary_policy_shock,5,37,-0.008030426739874339
Y,monetary_policy_shock,5,38,-0.007924790753624442
Y,monetary_policy_shock,5,39,-0.007807971504686457
Y,monetary_policy_shock,5,40,-0.007689498487083519
Y,monetary_policy_shock,5,41,-0.007576987935557716
Y,monetary_policy_shock,5,42,-0.007476529125474802
Y,monetary_policy_shock,5,43,-0.007393000750934842
Y,monetary_policy_shock,5,44,-0.0073303390860650925
Y,monetary_policy_shock,5,45,-0.007291772156850479
Y,monetary_policy_shock,5,46,-0.007280027435016022
Y,monetary_policy_shock,5,47,-0.007297510067646805
Y,monetary_policy_shock,5,48,-0.007346429134323116
Y,monetary_policy_shock,5,49,-0.007428806490181802
Y,monetary_policy_shock,5,50,-0.007546212301006686
Y,monetary_policy_shock,5,51,-0.00769887721367524
Y,monetary_policy_shock,5,52,-0.007883428700940548
Y,monetary_policy_shock,5,53,-0.00808766966110625
Y,monetary_policy_shock,5,54,-0.008279135733304598
Y,monetary_policy_shock,5,55,-0.008380786547070088
Y,monetary_policy_shock,5,56,-0.008220450043214686
Y,monetary_policy_shock,5,57,-0.0074273132712902095
Y,monetary_policy_shock,5,58,-0.00522255615559137
Y,monetary_policy_shock,5,59,-0.0
Y,monetary_policy_shock,6,0,0.09775090664174521
Y,monetary_policy_shock,6,1,0.0963381168496121
Y,monetary_policy_shock,6,2,0.08002781994708949
Y,monetary_policy_shock,6,3,0.02823806806765032
Y,monetary_policy_shock,6,4,-0.09646321252410447
Y,monetary_policy_shock,6,5,-0.36964669709875947
Y,monetary_policy_shock,6,6,-0.8594013939146299
Y,monetary_policy_shock,6,7,-0.45792461806344137
Y,monetary_policy_shock,6,8,-0.16642832847223268
Y,monetary_policy_shock,6,9,0.028056948756882787
Y,monetary_policy_shock,6,10,0.1450104352197265
Y,monetary_policy_shock,6,11,0.20454986640511624
Y,monetary_policy_shock,6,12,0.22448172968077656
Y,monetary_policy_shock,6,13,0.21915640813178236
Y,monetary_policy_shock,6,14,0.1993437312150587
Y,monetary_policy_shock,6,15,0.17262649654933904
Y,monetary_policy_shock,6,16,0.14400047455793044
Y,monetary_policy_shock,6,17,0.11650118946349239
Y,monetary_policy_shock,6,18,0.09176528367542792
Y,monetary_policy_shock,6,19,0.07048905851395365
Y,monetary_policy_shock,6,20,0.052778504726397335
Y,monetary_policy_shock,6,21,0.03840150334072763
Y,monetary_policy_shock,6,22,0.026959640712583093
Y,monetary_policy_shock,6,23,0.01799827256076669
