scenario,scenario_label,period,a,mass
baseline,Базовое правило,24,908.5214569027802,9.483327115078447e-19
baseline,Базовое правило,24,1320.234380667721,2.491458457113554e-21
baseline,Базовое правило,24,1913.4773033869203,1.3335168942581022e-22
baseline,Базовое правило,24,2768.2893460551436,4.911764457827038e-24
baseline,Базовое правило,24,4000.0,9.060696538340321e-26
baseline,Базовое правило,40,0.0,0.017199547688712593
baseline,Базовое правило,40,0.09006460660490612,0.015773639963616554
baseline,Базовое правило,40,0.21257574666139822,0.019321364357577826
baseline,Базовое правило,40,0.3792225572535164,0.02335888903571143
baseline,Базовое правило,40,0.6059052855974003,0.027544750796905555
baseline,Базовое правило,40,0.9142523769509592,0.032333752528929983
baseline,Базовое правило,40,1.333684106226619,0.03862578250348616
baseline,Базовое правило,40,1.9042196502815902,0.04705206386343047
baseline,Базовое правило,40,2.6802954316542698,0.05936188327976127
baseline,Базовое правило,40,3.7359590528066504,0.07151834349605703
baseline,Базовое правило,40,5.171934388943833,0.08497345339390278
baseline,Базовое правило,40,7.125231940055185,0.0960321843695009
baseline,Базовое правило,40,9.782221393259215,0.10153412497452824
baseline,Базовое правило,40,13.396413685888078,0.10054026207278004
baseline,Базовое правило,40,18.312649206637353,0.09155861056772184
baseline,Базовое правило,40,25.0,0.08753220095247359
baseline,Базовое правило,40,47.15592934036566,0.05974503854849414
baseline,Базовое правило,40,79.08071848043826,0.023143011900980223
baseline,Базовое правило,40,125.08159463331742,0.002850188240692828
baseline,Базовое правило,40,191.36490186357162,9.06704741298759e-07
baseline,Базовое правило,40,286.87344832644783,7.583129659552511e-10
baseline,Базовое правило,40,424.49305164171244,1.5412152559845274e-12
baseline,Базовое правило,40,622.7910670346317,1.9981274574757903e-15
baseline,Базовое правило,40,908.5214569027802,9.35584950129928e-19
baseline,Базовое правило,40,1320.234380667721,2.124337725243254e-21
baseline,Базовое правило,40,1913.4773033869203,1.129339635627604e-22
baseline,Базовое правило,40,2768.2893460551436,4.147128414662657e-24
baseline,Базовое правило,40,4000.0,7.627040171473857e-26
