scenario,scenario_label,period,mean_liquid_wealth,median_liquid_wealth,mean_illiquid_wealth,median_illiquid_wealth,mean_total_wealth,median_total_wealth,p10_liquid_wealth,p25_liquid_wealth,p75_liquid_wealth,p90_liquid_wealth,p10_illiquid_wealth,p25_illiquid_wealth,p75_illiquid_wealth,p90_illiquid_wealth,share_low_liquidity,share_wealthy_htm,share_top20_total_wealth,gini_liquid_wealth,gini_total_wealth,mean_mpc,median_mpc
high_rho_i,Высокая инерция ставки,9,1.0277940524181803,0.08897052667346173,12.97614667263284,7.125231940055185,14.00394072505102,9.75068346020064,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.269143971354715,25.0,0.5967497419370243,0.3584005830980788,0.20329325510891547,0.7740443205247826,0.5342350487637144,0.10663158478951795,0.08569526234900421
high_rho_i,Высокая инерция ставки,10,1.0285104518020942,0.08897052667346173,12.975699176224035,7.125231940055185,14.004209628026128,9.741530260611185,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.596485554681945,0.3583493922111397,0.2033063735134362,0.7738053715856215,0.5342144031234622,0.106528098793775,0.08558315292914569
high_rho_i,Высокая инерция ставки,11,1.0292312628996614,0.08897052667346173,12.975060321089934,7.125231940055185,14.004291583989595,9.74152370326166,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5962286271508587,0.35830399330327767,0.20331652930448935,0.7735879747348444,0.5341936577369438,0.10645831649917756,0.08520251693346197
high_rho_i,Высокая инерция ставки,12,1.029933566366787,0.08897052667346173,12.974334797204559,7.125231940055185,14.004268363571345,9.741519579629063,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5959857284300859,0.3582636380096069,0.20332391888971302,0.7733942018472886,0.534173602510392,0.10641055165385392,0.08518696091883042
high_rho_i,Высокая инерция ставки,13,1.0306049691402839,0.08897052667346173,12.973584349298614,7.125231940055185,14.004189318438899,9.741518881718628,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5957600369408645,0.3582272714665516,0.2033286586855056,0.7732236490234615,0.5341546534868082,0.10637701175372549,0.08517669594705653
high_rho_i,Высокая инерция ставки,14,1.031239627471253,0.08897052667346173,12.972843762090447,7.125231940055185,14.0040833895617,9.741521703622473,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.595552535151714,0.3581938575201573,0.2033309544372739,0.7730746331977136,0.5341369940803837,0.10635260353953872,0.08516977470253857
high_rho_i,Высокая инерция ставки,15,1.0318356206026178,0.08897052667346173,12.972131344099175,7.125231940055185,14.003966964701792,9.741527641203911,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5953629440380559,0.35816253211043253,0.20333111584286115,0.7729449246562885,0.5341206686912443,0.10633405451830269,0.08516498251017716
high_rho_i,Высокая инерция ставки,16,1.0323932700561687,0.08897052667346173,12.971455632887423,7.125231940055185,14.003848902943592,9.741536062990422,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5951903187031349,0.35813264954878044,0.2033295170735155,0.7728321710047106,0.5341056429524407,0.10631929361875851,0.08516156652026163
high_rho_i,Высокая инерция ставки,17,1.0329140962912429,0.08897052667346173,12.970819580657503,7.125231940055185,14.00373367694875,9.741546280837468,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5950334101015521,0.35810377040856567,0.20332654983886547,0.7727341242877384,0.534091841375592,0.10630702759094277,0.08515906103453766
high_rho_i,Высокая инерция ставки,18,1.033400191573351,0.08897052667346173,12.970223101949914,7.125231940055185,14.003623293523265,9.741557648088806,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5948908739652508,0.3580756239566955,0.20332258657546812,0.7726487477326295,0.5340791701275747,0.1062964580011531,0.08515717677744834
