scenario,scenario_label,period,channel,value
high_phi_pi,Сильная реакция на инфляцию,48,financial_income,-0.00874375550022062
high_phi_pi,Сильная реакция на инфляцию,48,disposable_income,0.007035980232168
high_phi_pi,Сильная реакция на инфляцию,49,labor_income,0.013456726522678245
high_phi_pi,Сильная реакция на инфляцию,49,financial_income,-0.005223715944964504
high_phi_pi,Сильная реакция на инфляцию,49,disposable_income,0.008361479202388361
high_phi_pi,Сильная реакция на инфляцию,50,labor_income,0.01399159618645739
high_phi_pi,Сильная реакция на инфляцию,50,financial_income,-0.0022803157785979185
high_phi_pi,Сильная реакция на инфляцию,50,disposable_income,0.009553295756504942
high_phi_pi,Сильная реакция на инфляцию,51,labor_income,0.014496485701439238
high_phi_pi,Сильная реакция на инфляцию,51,financial_income,-0.0007397149614997468
high_phi_pi,Сильная реакция на инфляцию,51,disposable_income,0.010340684213683978
high_phi_pi,Сильная реакция на инфляцию,52,labor_income,0.014878924233293298
high_phi_pi,Сильная реакция на инфляцию,52,financial_income,-0.0017265538093501123
high_phi_pi,Сильная реакция на инфляцию,52,disposable_income,0.010349640858691405
high_phi_pi,Сильная реакция на инфляцию,53,labor_income,0.01501570564793035
high_phi_pi,Сильная реакция на инфляцию,53,financial_income,-0.006650145969793018
high_phi_pi,Сильная реакция на инфляцию,53,disposable_income,0.009106162949032479
high_phi_pi,Сильная реакция на инфляцию,54,labor_income,0.014759112222160899
high_phi_pi,Сильная реакция на инфляцию,54,financial_income,-0.017121084659014154
high_phi_pi,Сильная реакция на инфляцию,54,disposable_income,0.006063521204418118
high_phi_pi,Сильная реакция на инфляцию,55,labor_income,0.013954607786686515
high_phi_pi,Сильная реакция на инфляцию,55,financial_income,-0.03476159714912025
high_phi_pi,Сильная реакция на инфляцию,55,disposable_income,0.0006668544005517201
high_phi_pi,Сильная реакция на инфляцию,56,labor_income,0.012475948587876217
high_phi_pi,Сильная реакция на инфляцию,56,financial_income,-0.0608655352067377
high_phi_pi,Сильная реакция на инфляцию,56,disposable_income,-0.007528556092258079
high_phi_pi,Сильная реакция на инфляцию,57,labor_income,0.010284982691552957
high_phi_pi,Сильная реакция на инфляцию,57,financial_income,-0.09585904212064557
high_phi_pi,Сильная реакция на инфляцию,57,disposable_income,-0.018666690103461576
